Detail,MeanImportance,StdImportance,Rank
Model_DTmodel,0.5119994253039631,0.05167801650695547,1
Split_Ratio,0.14395476171453844,0.04468008553058667,2
FeatureNum,0.09075893656773103,0.005985989688581005,3
Model_LogisticRegression,0.05654681943187314,0.00980610602340675,4
Model_GradientBoosting,0.033819997468536166,0.011852760682310655,5
FS_Method_infgain,0.030766022516432057,0.0004439023391741094,6
Model_XGBmodel,0.023009704664087697,0.001820674792544315,7
Scaler_minmax,0.022747377868978933,0.0018666277146884424,8
Scaler_standard,0.022636547159170132,0.0021418046186755507,9
Model_random_forest,0.020689342555077372,0.0035641057243479494,10
