Metric,AugName:noAug,FS_Method:biMaxInfgain,FS_Method:infgain,FS_Method:noSelect,FeatureNum:4.0,FeatureNum:5.0,FeatureNum:6.0,FeatureNum:7.0,FeatureNum:8.0,ImblName:noImbl,Model:DTmodel,Model:GradientBoosting,Model:LogisticRegression,Model:XGBmodel,Model:random_forest,Model:sklearn_SVM,Norm_Order:first,Norm_Order:last,Prob_Threshold:0.5,Scaler:minmax,Scaler:standard,Split_Ratio:0.1,Split_Ratio:0.15,Split_Ratio:0.2,Split_Ratio:0.25,Split_Ratio:0.3
Accuracy,0.04530148424349204,0.046475720552680885,0.04424299969298345,0.04440231180669399,0.047006470901438197,0.041822290088745766,0.046827104367850356,0.045562973522815124,0.04440231180669399,0.04530148424349204,0.030808835029982655,0.028753292134288237,0.029981175036333883,0.0313400295976565,0.029166572372246544,0.02546432531407743,0.04530432886232124,0.045340634008303016,0.04530148424349204,0.045073300432266546,0.04551303138923147,0.05651995789892681,0.048431633358450736,0.03713098110710034,0.0355662582284046,0.026310220683790027
Macro_F1,0.04948956302768802,0.0512462293062636,0.04802676731872243,0.04808708739834486,0.05045498371929833,0.04699015737658648,0.05222139967615225,0.048351276380747356,0.04808708739834486,0.04948956302768802,0.03331747008003944,0.035493976268162336,0.03869456707364367,0.03570564643657769,0.03449843787292808,0.033728943070840824,0.04948564134621349,0.049539363029493945,0.04948956302768802,0.05005282164090531,0.04860469769679956,0.060532649059631106,0.050900012020634496,0.03614113179334983,0.038123490576797425,0.028677227511283047
Macro_Precision,0.052726144650619776,0.05318657768195611,0.05206399847672305,0.052324310031290636,0.05551381773710581,0.04871065021088817,0.05385979509235579,0.05272965443891378,0.052324310031290636,0.052726144650619776,0.033065052632820564,0.032637774050874126,0.03367715035274157,0.036268364140514125,0.03370930027586156,0.029153901418635598,0.05273255297468225,0.052768595860092436,0.052726144650619776,0.052840950316126054,0.05263212527991768,0.06289327976554815,0.05637271890756455,0.045841706532266734,0.043054890996477496,0.03234484775593987
Macro_Recall,0.04904594920307354,0.05068534472173076,0.04761000650377805,0.04814897987509616,0.049297855554704784,0.04717473651923833,0.05210956073681838,0.04734222342671536,0.04814897987509616,0.04904594920307354,0.033949769702397686,0.03781416876685078,0.04216763751718608,0.03675585617891175,0.03593588842795384,0.03501733065958344,0.04903130481371855,0.0491060456845199,0.04904594920307354,0.04998984262878347,0.04757447210537063,0.059816484827524136,0.04981238097489595,0.03337187773726456,0.036710988219629016,0.027676136444640207
Weighted_F1,0.04499196499857624,0.046449034135743465,0.04376298978385724,0.04380573801238317,0.046213265918969695,0.04217930252006083,0.04706830235794224,0.04458299173138901,0.04380573801238317,0.04499196499857624,0.030219865575453666,0.030593798832937134,0.03283594545380631,0.03181715750760511,0.030266798451186964,0.028513340296727956,0.04499121092455586,0.045034428950882874,0.04499196499857624,0.04514088367838312,0.04470222422025829,0.05576799544633039,0.04699415703337851,0.034527585034802015,0.03482874668021084,0.025922681997766713
Weighted_Precision,0.045836079706201,0.04685979764375488,0.04475842920886105,0.045431599985238776,0.047215743544083165,0.043122145621560026,0.04757373163843155,0.045311053804282936,0.045431599985238776,0.045836079706201,0.030118814518037974,0.031088655074355893,0.03298366296001421,0.03236989354806864,0.03082128797035919,0.027285557693863947,0.045837177364121705,0.04587745906195791,0.045836079706201,0.04631152230769019,0.045266667947711635,0.05560391927632115,0.04751376292552456,0.036202499329535565,0.035958604763920286,0.0271717704736242
