Detail,MeanImportance,StdImportance,Rank
Model_DTmodel,0.5245066585991381,0.08398119575033142,1
FeatureNum,0.12204620568286983,0.010371303346740676,2
Prob_Threshold,0.07129334170122208,0.038466099418969744,3
Scaler_standard,0.0480540882734082,0.010318733938321254,4
Scaler_minmax,0.043857769401046055,0.008049435682603575,5
Model_sklearn_SVM,0.03776879972608694,0.012601770399652256,6
FS_Method_biMaxInfgain,0.03765545736268614,0.005532509666572935,7
Model_random_forest,0.025844280863247582,0.014965543301064397,8
FS_Method_infgain,0.02547258271327683,0.004071965879459707,9
Model_XGBmodel,0.019412743423355385,0.0031957821434920493,10
