Metric,Split_Ratio:0.1,ImblName:ADASYN,Model:XGBmodel,Model:GradientBoosting,ImblName:SMOTE,Model:random_forest,Scaler:standard,Prob_Threshold:0.35,FeatureNum:7.0,FS_Method:biMeanInfgain
Accuracy,0.09088245518940193,0.10899953551526094,0.09329943789305843,0.09243767148501056,0.09678605352777969,0.09479300651184072,0.09012496493327542,0.09759452682713932,0.08852151790754358,0.08949831515172692
Macro_F1,0.09617692229642011,0.11758480655544658,0.09971126459198194,0.09939965276353317,0.1017592865705517,0.10154683232105259,0.09668184387399043,0.10438763831032993,0.09426174222639089,0.09546730644991747
Macro_Precision,0.06852156647103513,0.07284862853361353,0.05827746415803624,0.054559273697154825,0.06744075556314255,0.06206335847487493,0.06641429046991666,0.065098291421556,0.06554588607073063,0.06601738938828572
Macro_Recall,0.08188404068290389,0.08878765972724062,0.07578218441171719,0.07399297362698447,0.08164874756225106,0.0794354144901131,0.08022630877486353,0.08030907830937593,0.07863301545876697,0.07964222208952149
Weighted_F1,0.10350486537671334,0.13304357227406344,0.11095712770915518,0.11123684574656095,0.11291010988088217,0.11250919907692096,0.1051140761295527,0.11773984737104848,0.10272841233413486,0.10400735321409853
Weighted_Precision,0.06871856939130681,0.07436216473750255,0.05777143469624462,0.053834361485092116,0.06803214625989884,0.06241399107043611,0.06695347634720963,0.06717102072698425,0.06656006167692971,0.06706126985938328
