Part_Label,AugName:gaussian_noise,Model:DTmodel,FS_Method:biMaxInfgain,FS_Method:biMeanInfgain,FeatureNum:4.0,FeatureNum:5.0,FeatureNum:6.0,Model:GradientBoosting,Model:XGBmodel,Norm_Order:first,Scaler:standard,FS_Method:infgain,FS_Method:noSelect,FeatureNum:7.0,FeatureNum:8.0,Norm_Order:last,Scaler:minmax,Split_Ratio:0.2,ImblName:RandomUnderSampler,ImblName:SMOTE,Model:random_forest,ImblName:ADASYN,Prob_Threshold:0.35,Random_State:2026.0,AugName:mixup,AugName:noAug,Model:sklearn_SVM,ImblName:TomekLinks,ImblName:noImbl,Prob_Threshold:0.5,Model:LogisticRegression,Random_State:42.0,Random_State:7.0,Split_Ratio:0.1
AugName:gaussian_noise,,0.5639374247443258,0.969332117784019,0.9710619690550006,0.9596753304703848,0.9692641710880802,0.9674828133929849,0.9784648568836979,0.9739584771706014,0.9540373908323148,0.9721851735698911,0.9591208761505715,0.9668214632294975,0.9707826797898511,0.9668214632294975,0.9761206671339888,0.9612828456575757,0.9587190705504942,0.9719752379248754,0.9733652670658189,0.9847175033923625,0.9821918140973381,0.9820512074470823,0.9501532582368183,,,0.958166793291817,0.706430568931711,0.6228041043588077,0.7461928963779048,0.9882896688151628,0.9684402974888471,0.9782794164242592,0.9733862833831062
Model:DTmodel,0.5639374247443258,,0.717534312380762,0.7130810432190714,0.7534416493278006,0.7144615032765359,0.7332467333580996,,,0.7668739538872372,0.7234065364957111,0.7596497501874545,0.7293411855702776,0.7188998186261177,0.7293411855702776,0.6957159007635334,0.735855272165562,0.7579913254023108,0.5808339236021752,0.6216015111174783,,0.5467336763071251,0.5570159559313014,0.7724542750620047,0.8979483772777727,0.8232037942484032,,0.974603829970418,0.9626963780878501,0.9677726048772394,,0.7159298514634307,0.7012944803541835,0.7024432729460315
FS_Method:biMaxInfgain,0.969332117784019,0.717534312380762,,,0.9984957068089719,0.9999639298349747,0.9995618186111773,0.9974073623799619,0.9987903234098334,0.9972400964913777,0.9994063474291974,,,0.9999211391660779,0.9998251221175506,0.9994752328792226,0.9994340786960807,0.9980526301608712,0.9806114851195191,0.9896170574011501,0.991459856686938,0.975002656625379,0.9774866962552692,0.9965971505605246,0.9328761581595594,0.9671784754400561,0.9947558656659912,0.8157104829283254,0.7252267309428825,0.8542773057194598,0.9917869034582955,0.9999572629916039,0.9990378777500105,0.9997474016267458
FS_Method:biMeanInfgain,0.9710619690550006,0.7130810432190714,,,0.9981884958245267,0.9999561207261881,0.999447854678882,0.9977720622098272,0.9989388605773196,0.9967790773715993,0.9994132591126562,,,0.9999270500743686,0.9997204797862814,0.999684357515666,0.9992188302318973,0.9976976285271036,0.9815648430901388,0.9902452056193861,0.9922124670847101,0.9763329383900768,0.9787547914939955,0.9960430529193467,0.9302193988014407,0.9654056233678705,0.9944179708785934,0.8124146489241244,0.7218038447879834,0.8511798362727062,0.9927333436895666,0.9998983881193276,0.999312244570457,0.9998788611593321
FeatureNum:4.0,0.9596753304703848,0.7534416493278006,0.9984957068089719,0.9981884958245267,,,,0.9919747643174217,0.9946485625046858,0.9997759318227569,0.9987262219857725,0.9998652998844157,0.9993288239034138,,,0.9964693014106983,0.9992671159581598,0.999938977856792,0.9691482814556737,0.9807830896298121,0.9829387413378317,0.9616621777403538,0.9648200832649101,0.9994665871078011,0.9471484297810546,0.9736707032095923,0.9983514030667024,0.8454029826385616,0.7603584009771649,0.88084495917089,0.984541654938405,0.9982138877477529,0.9968476329445917,0.9971712283241725
FeatureNum:5.0,0.9692641710880802,0.7144615032765359,0.9999639298349747,0.9999561207261881,,,,0.9977201564785116,0.9989741805486914,0.9968516577090648,0.9991228576375131,0.9972718055196723,0.9997064047572165,,,0.9995394318975123,0.9994271958172468,0.9976619314734,0.981953435333123,0.9905920995830333,0.9919905531762931,0.9761729913633962,0.9786431505619319,0.9962251800413222,0.9322018758098961,0.9673553148344352,0.9940406397725883,0.8122067114545427,0.7206583609948666,0.851293947975647,0.9922964852728972,0.99995733082668,0.9989557969010919,0.9998277499399422
FeatureNum:6.0,0.9674828133929849,0.7332467333580996,0.9995618186111773,0.999447854678882,,,,0.9951324504853322,0.9970322962313004,0.998652521395968,0.9997878026439246,0.9991566871324563,0.9998845216060334,,,0.9985020770751812,0.9993225461944824,0.9993095119456332,0.9746979760534982,0.9850727208238311,0.9879273600122789,0.9689919357914651,0.9717250538284804,0.9980164043053003,0.9372611652150775,0.9678025361322161,0.9973253339145992,0.8307817162119833,0.7442880604620993,0.8673583887519098,0.9891138205242981,0.9993180647579382,0.9987520758052834,0.9988442191913399
Model:GradientBoosting,0.9784648568836979,,0.9974073623799619,0.9977720622098272,0.9919747643174217,0.9977201564785116,0.9951324504853322,,,0.9893183580156689,0.995837568403653,0.9903288320698193,0.9959325748485688,0.9970370550699692,0.9959325748485688,0.9989458951844062,0.9950442358845835,0.9910171404698467,0.9912277862183794,0.9966649527892169,,0.9882736467407416,0.9898681454772736,0.9881833656093153,0.9088554570632097,0.9533594540246428,,0.7726954153194251,0.6758176318453294,0.8151104981478267,,0.9976326111608552,0.9975730876032277,0.9986219635540543
Model:XGBmodel,0.9739584771706014,,0.9987903234098334,0.9989388605773196,0.9946485625046858,0.9989741805486914,0.9970322962313004,,,0.9925834866713826,0.9973397069622643,0.9931894505123965,0.9976977349615381,0.9983898588890634,0.9976977349615381,0.999430016778822,0.997109388944061,0.9939054721683624,0.9879535470907472,0.9947930845202434,,0.9837715968773624,0.9856461977348692,0.9917356073449245,0.9196738572842655,0.9603964630651556,,0.788468237053699,0.6930337813433036,0.8297438040611494,,0.9990313043783047,0.9980761050622597,0.9993709552482529
Norm_Order:first,0.9540373908323148,0.7668739538872372,0.9972400964913777,0.9967790773715993,0.9997759318227569,0.9968516577090648,0.998652521395968,0.9893183580156689,0.9925834866713826,,0.9975666315154874,0.9997974471195561,0.9983903452808188,0.9974205775807132,0.9983903452808188,,0.9985733122105647,0.9998654572680997,0.9644123849260321,0.9770661055140071,0.9790642020395823,0.9559557036709639,0.9593439555132934,0.999907440297996,0.9532445697126705,0.9768043952958884,0.9985723912866282,0.8556104478950906,0.7719084622777442,0.8900923734682952,0.9806233570458041,0.9969520122266908,0.9949732731511574,0.9954472968387358
