Part_Label,Random_State:7.0,Split_Ratio:0.1,Random_State:42.0,Model:random_forest,Scaler:standard,ImblName:ADASYN,FeatureNum:5.0,Model:XGBmodel,FS_Method:biMaxInfgain,FS_Method:biMeanInfgain
Random_State:7.0,,0.9993967838369664,,0.9931152675370738,0.999353917360054,0.9781623531085258,0.998955796901093,0.9980761050622594,0.999037877750012,0.9993122445704569
Split_Ratio:0.1,0.9993967838369664,,0.9997150263966975,0.9939325492648267,0.9989737859060118,0.979529833629664,0.9998277499399425,0.9993709552482517,0.9997474016267466,0.9998788611593313
Random_State:42.0,,0.9997150263966975,,0.9917838274383658,0.9991005803161696,0.9756090187728541,0.99995733082668,0.999031304378303,0.9999572629916043,0.9998983881193263
Model:random_forest,0.9931152675370738,0.9939325492648267,0.9917838274383658,,0.98954916978684,0.9952677087320143,0.991990553176293,,0.9914598566869384,0.9922124670847089
Scaler:standard,0.999353917360054,0.9989737859060118,0.9991005803161696,0.98954916978684,,0.9714093428481477,0.9991228576375137,0.9973397069622634,0.9994063474291983,0.9994132591126555
ImblName:ADASYN,0.9781623531085258,0.979529833629664,0.9756090187728541,0.9952677087320143,0.9714093428481477,,0.976172991363396,0.9837715968773606,0.975002656625379,0.9763329383900751
FeatureNum:5.0,0.998955796901093,0.9998277499399425,0.99995733082668,0.991990553176293,0.9991228576375137,0.976172991363396,,0.9989741805486914,0.9999639298349751,0.9999561207261869
Model:XGBmodel,0.9980761050622594,0.9993709552482517,0.999031304378303,,0.9973397069622634,0.9837715968773606,0.9989741805486914,,0.9987903234098353,0.99893886057732
FS_Method:biMaxInfgain,0.999037877750012,0.9997474016267466,0.9999572629916043,0.9914598566869384,0.9994063474291983,0.975002656625379,0.9999639298349751,0.9987903234098353,,
FS_Method:biMeanInfgain,0.9993122445704569,0.9998788611593313,0.9998983881193263,0.9922124670847089,0.9994132591126555,0.9763329383900751,0.9999561207261869,0.99893886057732,,
