Detail,MeanImportance,StdImportance,Rank
Split_Ratio,0.29778693600648704,0.016736960696145893,1
Model_DTmodel,0.2638657912268159,0.03604477452837246,2
FeatureNum,0.13630444132666616,0.011611481077376414,3
Model_LogisticRegression,0.07961628433525658,0.00752287749390951,4
Scaler_standard,0.033025291481991466,0.0016713524407687688,5
Scaler_minmax,0.03295930501270614,0.001461237610658602,6
FS_Method_infgain,0.03248791429574746,0.002531757712336334,7
FS_Method_biMaxInfgain,0.031580569415738856,0.002242776890937943,8
Model_sklearn_SVM,0.027198132239547913,0.00586148974122058,9
Model_GradientBoosting,0.019751648046046573,0.0013321408641414766,10
