Model,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Precision,Weighted_Recall,Weighted_F1,Micro_Precision,Micro_Recall,Micro_F1,Integrated_Score,final_score
sklearn_SVM,0.0,1.0,1.0,0.0,1.0714285714285714,0.0,0.0,0.0,0.0,0.0,1.0,0.3701298701298701
LogisticRegression,0.2,1.0714285714285714,1.0714285714285714,0.2,1.0,0.2,0.2,0.2,0.2,0.2,1.0714285714285714,0.5103896103896104
random_forest,0.8,0.7857142857142857,0.7857142857142857,0.8,0.7857142857142857,0.8,0.8,0.8,0.8,0.8,0.7857142857142857,0.7948051948051947
DTmodel,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBmodel,1.4666666666666668,1.4285714285714286,1.4285714285714286,1.4666666666666668,1.5,1.4666666666666668,1.4666666666666668,1.4666666666666668,1.4666666666666668,1.4666666666666668,1.4285714285714286,1.4593073593073596
GradientBoosting,1.5333333333333332,1.5,1.5,1.5333333333333332,1.4285714285714286,1.5333333333333332,1.5333333333333332,1.5333333333333332,1.5333333333333332,1.5333333333333332,1.5,1.5147186147186147
