Metric,Model,Avg_Rank,CD,Friedman_chi2,Friedman_p
Accuracy,sklearn_SVM,1.0,3.578991617760511,14.61904761904762,0.012120355961506481
Accuracy,LogisticRegression,2.0,3.578991617760511,14.61904761904762,0.012120355961506481
Accuracy,XGBmodel,3.3333333333333335,3.578991617760511,14.61904761904762,0.012120355961506481
Accuracy,GradientBoosting,3.6666666666666665,3.578991617760511,14.61904761904762,0.012120355961506481
Accuracy,random_forest,5.0,3.578991617760511,14.61904761904762,0.012120355961506481
Accuracy,DTmodel,6.0,3.578991617760511,14.61904761904762,0.012120355961506481
Macro_Precision,sklearn_SVM,1.3333333333333333,3.578991617760511,14.23809523809524,0.014165683684850295
Macro_Precision,LogisticRegression,1.6666666666666667,3.578991617760511,14.23809523809524,0.014165683684850295
Macro_Precision,XGBmodel,3.3333333333333335,3.578991617760511,14.23809523809524,0.014165683684850295
Macro_Precision,GradientBoosting,3.6666666666666665,3.578991617760511,14.23809523809524,0.014165683684850295
Macro_Precision,random_forest,5.0,3.578991617760511,14.23809523809524,0.014165683684850295
Macro_Precision,DTmodel,6.0,3.578991617760511,14.23809523809524,0.014165683684850295
Macro_Recall,sklearn_SVM,1.3333333333333333,3.578991617760511,14.23809523809524,0.014165683684850295
Macro_Recall,LogisticRegression,1.6666666666666667,3.578991617760511,14.23809523809524,0.014165683684850295
Macro_Recall,XGBmodel,3.3333333333333335,3.578991617760511,14.23809523809524,0.014165683684850295
Macro_Recall,GradientBoosting,3.6666666666666665,3.578991617760511,14.23809523809524,0.014165683684850295
Macro_Recall,random_forest,5.0,3.578991617760511,14.23809523809524,0.014165683684850295
Macro_Recall,DTmodel,6.0,3.578991617760511,14.23809523809524,0.014165683684850295
Macro_F1,sklearn_SVM,1.0,3.578991617760511,14.61904761904762,0.012120355961506481
Macro_F1,LogisticRegression,2.0,3.578991617760511,14.61904761904762,0.012120355961506481
Macro_F1,XGBmodel,3.3333333333333335,3.578991617760511,14.61904761904762,0.012120355961506481
Macro_F1,GradientBoosting,3.6666666666666665,3.578991617760511,14.61904761904762,0.012120355961506481
Macro_F1,random_forest,5.0,3.578991617760511,14.61904761904762,0.012120355961506481
Macro_F1,DTmodel,6.0,3.578991617760511,14.61904761904762,0.012120355961506481
Weighted_Precision,LogisticRegression,1.3333333333333333,3.578991617760511,14.23809523809524,0.014165683684850295
Weighted_Precision,sklearn_SVM,1.6666666666666667,3.578991617760511,14.23809523809524,0.014165683684850295
Weighted_Precision,GradientBoosting,3.3333333333333335,3.578991617760511,14.23809523809524,0.014165683684850295
Weighted_Precision,XGBmodel,3.6666666666666665,3.578991617760511,14.23809523809524,0.014165683684850295
Weighted_Precision,random_forest,5.0,3.578991617760511,14.23809523809524,0.014165683684850295
Weighted_Precision,DTmodel,6.0,3.578991617760511,14.23809523809524,0.014165683684850295
Weighted_Recall,sklearn_SVM,1.0,3.578991617760511,14.61904761904762,0.012120355961506481
Weighted_Recall,LogisticRegression,2.0,3.578991617760511,14.61904761904762,0.012120355961506481
Weighted_Recall,XGBmodel,3.3333333333333335,3.578991617760511,14.61904761904762,0.012120355961506481
Weighted_Recall,GradientBoosting,3.6666666666666665,3.578991617760511,14.61904761904762,0.012120355961506481
Weighted_Recall,random_forest,5.0,3.578991617760511,14.61904761904762,0.012120355961506481
Weighted_Recall,DTmodel,6.0,3.578991617760511,14.61904761904762,0.012120355961506481
Weighted_F1,sklearn_SVM,1.0,3.578991617760511,14.61904761904762,0.012120355961506481
Weighted_F1,LogisticRegression,2.0,3.578991617760511,14.61904761904762,0.012120355961506481
Weighted_F1,XGBmodel,3.3333333333333335,3.578991617760511,14.61904761904762,0.012120355961506481
Weighted_F1,GradientBoosting,3.6666666666666665,3.578991617760511,14.61904761904762,0.012120355961506481
Weighted_F1,random_forest,5.0,3.578991617760511,14.61904761904762,0.012120355961506481
Weighted_F1,DTmodel,6.0,3.578991617760511,14.61904761904762,0.012120355961506481
Micro_Precision,sklearn_SVM,1.0,3.578991617760511,14.61904761904762,0.012120355961506481
Micro_Precision,LogisticRegression,2.0,3.578991617760511,14.61904761904762,0.012120355961506481
Micro_Precision,XGBmodel,3.3333333333333335,3.578991617760511,14.61904761904762,0.012120355961506481
Micro_Precision,GradientBoosting,3.6666666666666665,3.578991617760511,14.61904761904762,0.012120355961506481
Micro_Precision,random_forest,5.0,3.578991617760511,14.61904761904762,0.012120355961506481
Micro_Precision,DTmodel,6.0,3.578991617760511,14.61904761904762,0.012120355961506481
Micro_Recall,sklearn_SVM,1.0,3.578991617760511,14.61904761904762,0.012120355961506481
Micro_Recall,LogisticRegression,2.0,3.578991617760511,14.61904761904762,0.012120355961506481
Micro_Recall,XGBmodel,3.3333333333333335,3.578991617760511,14.61904761904762,0.012120355961506481
Micro_Recall,GradientBoosting,3.6666666666666665,3.578991617760511,14.61904761904762,0.012120355961506481
Micro_Recall,random_forest,5.0,3.578991617760511,14.61904761904762,0.012120355961506481
Micro_Recall,DTmodel,6.0,3.578991617760511,14.61904761904762,0.012120355961506481
Micro_F1,sklearn_SVM,1.0,3.578991617760511,14.61904761904762,0.012120355961506481
Micro_F1,LogisticRegression,2.0,3.578991617760511,14.61904761904762,0.012120355961506481
Micro_F1,XGBmodel,3.3333333333333335,3.578991617760511,14.61904761904762,0.012120355961506481
Micro_F1,GradientBoosting,3.6666666666666665,3.578991617760511,14.61904761904762,0.012120355961506481
Micro_F1,random_forest,5.0,3.578991617760511,14.61904761904762,0.012120355961506481
Micro_F1,DTmodel,6.0,3.578991617760511,14.61904761904762,0.012120355961506481
Integrated_Score,sklearn_SVM,1.3333333333333333,3.578991617760511,14.23809523809524,0.014165683684850295
Integrated_Score,LogisticRegression,1.6666666666666667,3.578991617760511,14.23809523809524,0.014165683684850295
Integrated_Score,XGBmodel,3.3333333333333335,3.578991617760511,14.23809523809524,0.014165683684850295
Integrated_Score,GradientBoosting,3.6666666666666665,3.578991617760511,14.23809523809524,0.014165683684850295
Integrated_Score,random_forest,5.0,3.578991617760511,14.23809523809524,0.014165683684850295
Integrated_Score,DTmodel,6.0,3.578991617760511,14.23809523809524,0.014165683684850295
