Cluster,Part
1,AugName:gaussian_noise
3,AugName:mixup
3,AugName:noAug
3,Model:sklearn_SVM
3,Random_State:126.0
7,FS_Method:biMaxInfgain
7,FS_Method:biMeanInfgain
7,FS_Method:infgain
7,FeatureNum:4.0
7,FeatureNum:5.0
7,FeatureNum:6.0
7,Model:GradientBoosting
7,Model:XGBmodel
7,Norm_Order:first
7,Scaler:standard
7,Split_Ratio:0.1
6,FS_Method:noSelect
6,FeatureNum:7.0
6,FeatureNum:8.0
6,Norm_Order:last
6,Random_State:5012.0
6,Scaler:minmax
6,Split_Ratio:0.2
10,ImblName:ADASYN
10,Prob_Threshold:0.35
9,ImblName:RandomUnderSampler
9,ImblName:SMOTE
9,Model:random_forest
4,ImblName:TomekLinks
4,ImblName:noImbl
4,Prob_Threshold:0.5
2,Model:DTmodel
5,Model:LogisticRegression
5,Random_State:42.0
5,Random_State:7.0
8,Random_State:2026.0
8,Random_State:23.0
