Cluster,Part
1,AugName:gaussian_noise
4,AugName:mixup
4,AugName:noAug
7,FS_Method:biMaxInfgain
7,FS_Method:biMeanInfgain
7,FS_Method:infgain
7,FeatureNum:4.0
7,FeatureNum:5.0
7,FeatureNum:6.0
7,Model:XGBmodel
7,Norm_Order:first
7,Scaler:standard
7,Split_Ratio:0.1
7,Split_Ratio:0.2
10,FS_Method:noSelect
10,FeatureNum:7.0
10,FeatureNum:8.0
10,Model:GradientBoosting
10,Model:random_forest
10,Norm_Order:last
10,Scaler:minmax
8,ImblName:ADASYN
8,Prob_Threshold:0.35
9,ImblName:RandomUnderSampler
9,ImblName:SMOTE
3,ImblName:TomekLinks
3,ImblName:noImbl
3,Prob_Threshold:0.5
2,Model:DTmodel
6,Model:LogisticRegression
5,Model:sklearn_SVM
