Metric,Model:LogisticRegression,AugName:mixup,AugName:noAug,Model:sklearn_SVM,Split_Ratio:0.2,ImblName:noImbl,ImblName:TomekLinks,Prob_Threshold:0.5,Scaler:standard,FeatureNum:4.0
Accuracy,0.6580461205461205,0.6754443473193473,0.6699404761904763,0.6670121545121546,0.6626831501831502,0.6784916472416473,0.6727872821622821,0.6703456265956266,0.6535388222888222,0.6533309283309283
Macro_F1,0.6421958322491778,0.6581083909647056,0.6550743348165844,0.6443695568374823,0.6434019002181356,0.646512967745136,0.6453505775384557,0.6438044380932235,0.6345316186035528,0.6353009554537882
Macro_Precision,0.6940751227107084,0.6705602201149723,0.6707049246764077,0.6755179747745814,0.6717137918126284,0.664404188430038,0.6611096238921342,0.6582616991263367,0.6649769117831227,0.6628272575860199
Macro_Recall,0.6831271367521368,0.6758349655745488,0.676951774691358,0.6693271604938272,0.6699705009496676,0.6557861467236468,0.6573970204178538,0.6555581275720164,0.6626736308958531,0.6615496827846364
Weighted_F1,0.6518020178874268,0.6780592636294145,0.6728112587398487,0.6633516598152688,0.6599913088405863,0.6747056155099392,0.6711016972872494,0.6695689820419364,0.6504164682869232,0.6517712025027546
Weighted_Precision,0.740614551096954,0.7098165414876043,0.7123286934181685,0.7146647552149265,0.712547018037443,0.6955231661361926,0.6950547415909023,0.6927266682918048,0.7066008246892359,0.7041723015923697
