Metric,Mean,Std
Accuracy,0.6505702630702631,0.11127677634891094
Macro_Precision,0.7024117916505925,0.06578929318571089
Macro_Recall,0.7029890788224122,0.08537474441401886
Macro_F1,0.6422682299798146,0.12036521354351361
Weighted_Precision,0.7580702117267523,0.06606065417893625
Weighted_Recall,0.6505702630702631,0.11127677634891094
Weighted_F1,0.6416646571741703,0.13761656874373462
Micro_Precision,0.6505702630702631,0.11127677634891094
Micro_Recall,0.6505702630702631,0.11127677634891094
Micro_F1,0.6505702630702631,0.11127677634891094
Integrated_Score,0.6691651465211786,0.10205732162067907
