Rank,Metric,Value,LogDir,Split_Ratio,P_th,R_St
1,M_P,0.9032,log/pimaindians_diabetes/4/infgain/gaussian_noise__noImbl__standard/sklearn_SVM,0.1,0.35,23
1,M_R,0.7919,log/pimaindians_diabetes/5/infgain/standard__noAug__RandomUnderSampler/DTmodel,0.1,0.35,23
1,M_F1,0.8036,log/pimaindians_diabetes/4/infgain/gaussian_noise__noImbl__standard/sklearn_SVM,0.1,0.35,23
1,m_P,0.8442,log/pimaindians_diabetes/4/infgain/gaussian_noise__noImbl__standard/sklearn_SVM,0.1,0.35,23
1,m_R,0.8442,log/pimaindians_diabetes/4/infgain/gaussian_noise__noImbl__standard/sklearn_SVM,0.1,0.35,23
1,m_F1,0.8442,log/pimaindians_diabetes/4/infgain/gaussian_noise__noImbl__standard/sklearn_SVM,0.1,0.35,23
1,W_P,0.8743,log/pimaindians_diabetes/4/infgain/gaussian_noise__noImbl__standard/sklearn_SVM,0.1,0.35,23
1,W_R,0.8442,log/pimaindians_diabetes/4/infgain/gaussian_noise__noImbl__standard/sklearn_SVM,0.1,0.35,23
1,W_F1,0.8302,log/pimaindians_diabetes/4/infgain/gaussian_noise__noImbl__standard/sklearn_SVM,0.1,0.35,23
1,Acc,0.8442,log/pimaindians_diabetes/4/infgain/gaussian_noise__noImbl__standard/sklearn_SVM,0.1,0.35,23
2,M_P,0.8704,log/pimaindians_diabetes/4/infgain/gaussian_noise__TomekLinks__minmax/LogisticRegression,0.1,0.5,23
2,M_R,0.7919,log/pimaindians_diabetes/4/infgain/standard__mixup__SMOTE/random_forest,0.1,0.5,23
2,M_F1,0.7968,log/pimaindians_diabetes/5/infgain/standard__noAug__RandomUnderSampler/DTmodel,0.1,0.5,23
2,m_P,0.8312,log/pimaindians_diabetes/4/infgain/gaussian_noise__TomekLinks__minmax/LogisticRegression,0.1,0.5,23
2,m_R,0.8312,log/pimaindians_diabetes/4/infgain/gaussian_noise__TomekLinks__minmax/LogisticRegression,0.1,0.5,23
2,m_F1,0.8312,log/pimaindians_diabetes/4/infgain/gaussian_noise__TomekLinks__minmax/LogisticRegression,0.1,0.5,23
2,W_P,0.8503,log/pimaindians_diabetes/4/infgain/gaussian_noise__TomekLinks__minmax/LogisticRegression,0.1,0.5,23
2,W_R,0.8312,log/pimaindians_diabetes/4/infgain/gaussian_noise__TomekLinks__minmax/LogisticRegression,0.1,0.5,23
2,W_F1,0.8179,log/pimaindians_diabetes/4/infgain/gaussian_noise__TomekLinks__minmax/LogisticRegression,0.1,0.5,23
2,Acc,0.8312,log/pimaindians_diabetes/4/infgain/gaussian_noise__TomekLinks__minmax/LogisticRegression,0.1,0.5,23
3,M_P,0.8618,log/pimaindians_diabetes/5/infgain/minmax__gaussian_noise__noImbl/LogisticRegression,0.1,0.5,23
3,M_R,0.7919,log/pimaindians_diabetes/6/infgain/standard__mixup__SMOTE/DTmodel,0.1,0.35,23
3,M_F1,0.7968,log/pimaindians_diabetes/4/infgain/standard__mixup__SMOTE/random_forest,0.1,0.5,23
3,m_P,0.8182,log/pimaindians_diabetes/4/infgain/standard__mixup__SMOTE/random_forest,0.1,0.5,23
3,m_R,0.8182,log/pimaindians_diabetes/4/infgain/standard__mixup__SMOTE/random_forest,0.1,0.5,23
3,m_F1,0.8182,log/pimaindians_diabetes/4/infgain/standard__mixup__SMOTE/random_forest,0.1,0.5,23
3,W_P,0.8405,log/pimaindians_diabetes/5/infgain/minmax__gaussian_noise__noImbl/LogisticRegression,0.1,0.5,23
3,W_R,0.8182,log/pimaindians_diabetes/4/infgain/standard__mixup__SMOTE/random_forest,0.1,0.5,23
3,W_F1,0.8165,log/pimaindians_diabetes/4/infgain/standard__mixup__SMOTE/random_forest,0.1,0.5,23
3,Acc,0.8182,log/pimaindians_diabetes/4/infgain/standard__mixup__SMOTE/random_forest,0.1,0.5,23
4,M_P,0.8571,log/pimaindians_diabetes/5/infgain/standard__gaussian_noise__TomekLinks/sklearn_SVM,0.1,0.5,23
4,M_R,0.7919,log/pimaindians_diabetes/5/infgain/standard__noAug__RandomUnderSampler/DTmodel,0.1,0.5,23
4,M_F1,0.7968,log/pimaindians_diabetes/5/infgain/standard__noAug__RandomUnderSampler/DTmodel,0.1,0.35,23
4,m_P,0.8182,log/pimaindians_diabetes/6/infgain/standard__mixup__SMOTE/DTmodel,0.1,0.35,23
4,m_R,0.8182,log/pimaindians_diabetes/6/infgain/standard__mixup__SMOTE/DTmodel,0.1,0.35,23
4,m_F1,0.8182,log/pimaindians_diabetes/6/infgain/standard__mixup__SMOTE/DTmodel,0.1,0.35,23
