Detail,MeanImportance,StdImportance,Rank
Model_DTmodel,0.6243608900794978,0.03288531825062685,1
FeatureNum,0.0976545178173357,0.00811465770121298,2
Prob_Threshold,0.05361571367607328,0.041476963757353595,3
FS_Method_biMaxInfgain,0.032202291448563604,0.00552294266921715,4
Model_GradientBoosting,0.03015216799977563,0.010074268025055712,5
Model_random_forest,0.02886112296616172,0.010420179214943164,6
Scaler_minmax,0.02330900199473032,0.002579044716942544,7
Model_XGBmodel,0.022953985492127682,0.005787515066762493,8
Scaler_standard,0.02283013833680501,0.0024866864095660903,9
FS_Method_infgain,0.017617006657442296,0.004644236365952162,10
