Part,MeanImportance,StdImportance,Rank
Model,0.7280218407241962,0.027199929089789247,1
Scaler,0.07362560736297123,0.008875798379187073,2
FS_Method,0.06662449296952143,0.009019559247849597,3
Norm_Order,0.007371547267346446,0.0009029808457781362,4
AugName,0.0,0.0,5
FeatureNum,0.0,0.0,5
ImblName,0.0,0.0,5
Prob_Threshold,0.0,0.0,5
Split_Ratio,0.0,0.0,5
