Timestamp,RunID,LogDir,Class,Accuracy,Macro_F1,Weighted_F1,Precision,Recall,F1,Support,TP,FN,FP,TN,Norm_Order,Split_Ratio,Prob_Threshold,Model_RunID,Random_State,FeatureNum,FS_Method,Scaler,AugName,ImblName,Model
2026-05-29 02:21:24,20260529-022111,log/pimaindians_diabetes_v4/20260529-022111/4/biMaxInfgain/minmax__noAug__noImbl/sklearn_SVM,0,0.7142857142857143,0.699645390070922,0.719452887537994,0.8181818181818182,0.72,0.7659574468085106,100.0,72,28,16,38,first,0.2,0.35,1779992484150_aebe794717799924842407147,23,4,biMaxInfgain,minmax,noAug,noImbl,sklearn_SVM
2026-05-29 02:21:24,20260529-022111,log/pimaindians_diabetes_v4/20260529-022111/4/biMaxInfgain/minmax__noAug__noImbl/sklearn_SVM,1,0.7142857142857143,0.699645390070922,0.719452887537994,0.5757575757575758,0.7037037037037037,0.6333333333333333,54.0,38,16,28,72,first,0.2,0.35,1779992484150_aebe794717799924842407147,23,4,biMaxInfgain,minmax,noAug,noImbl,sklearn_SVM
2026-05-29 02:21:24,20260529-022111,log/pimaindians_diabetes_v4/20260529-022111/4/biMaxInfgain/minmax__noAug__noImbl/random_forest,0,0.6623376623376623,0.6576607387140903,0.6696128768632188,0.8333333333333334,0.6,0.6976744186046512,100.0,60,40,12,42,first,0.2,0.35,1779992484150_aebe794717799924848899923,23,4,biMaxInfgain,minmax,noAug,noImbl,random_forest
2026-05-29 02:21:24,20260529-022111,log/pimaindians_diabetes_v4/20260529-022111/4/biMaxInfgain/minmax__noAug__noImbl/random_forest,1,0.6623376623376623,0.6576607387140903,0.6696128768632188,0.5121951219512195,0.7777777777777778,0.6176470588235294,54.0,42,12,40,60,first,0.2,0.35,1779992484150_aebe794717799924848899923,23,4,biMaxInfgain,minmax,noAug,noImbl,random_forest
2026-05-29 02:21:25,20260529-022111,log/pimaindians_diabetes_v4/20260529-022111/4/biMaxInfgain/minmax__noAug__noImbl/XGBmodel,0,0.7142857142857143,0.6977698483496877,0.7188734548234994,0.8111111111111111,0.73,0.7684210526315789,100.0,73,27,17,37,first,0.2,0.35,1779992484150_aebe794717799924850479453,23,4,biMaxInfgain,minmax,noAug,noImbl,XGBmodel
2026-05-29 02:21:25,20260529-022111,log/pimaindians_diabetes_v4/20260529-022111/4/biMaxInfgain/minmax__noAug__noImbl/XGBmodel,1,0.7142857142857143,0.6977698483496877,0.7188734548234994,0.578125,0.6851851851851852,0.6271186440677966,54.0,37,17,27,73,first,0.2,0.35,1779992484150_aebe794717799924850479453,23,4,biMaxInfgain,minmax,noAug,noImbl,XGBmodel
2026-05-29 02:21:25,20260529-022111,log/pimaindians_diabetes_v4/20260529-022111/4/biMaxInfgain/minmax__noAug__noImbl/DTmodel,0,0.6818181818181818,0.639068254651552,0.6761719650225891,0.7383177570093458,0.79,0.7632850241545893,100.0,79,21,28,26,first,0.2,0.35,1779992484150_aebe794717799924851682678,23,4,biMaxInfgain,minmax,noAug,noImbl,DTmodel
2026-05-29 02:21:25,20260529-022111,log/pimaindians_diabetes_v4/20260529-022111/4/biMaxInfgain/minmax__noAug__noImbl/DTmodel,1,0.6818181818181818,0.639068254651552,0.6761719650225891,0.5531914893617021,0.4814814814814814,0.5148514851485149,54.0,26,28,21,79,first,0.2,0.35,1779992484150_aebe794717799924851682678,23,4,biMaxInfgain,minmax,noAug,noImbl,DTmodel
2026-05-29 02:21:25,20260529-022111,log/pimaindians_diabetes_v4/20260529-022111/4/biMaxInfgain/minmax__noAug__noImbl/LogisticRegression,0,0.6688311688311688,0.6598674808366896,0.6763606667465314,0.810126582278481,0.64,0.7150837988826816,100.0,64,36,15,39,first,0.2,0.35,1779992484150_aebe794717799924852896354,23,4,biMaxInfgain,minmax,noAug,noImbl,LogisticRegression
2026-05-29 02:21:25,20260529-022111,log/pimaindians_diabetes_v4/20260529-022111/4/biMaxInfgain/minmax__noAug__noImbl/LogisticRegression,1,0.6688311688311688,0.6598674808366896,0.6763606667465314,0.52,0.7222222222222222,0.6046511627906976,54.0,39,15,36,64,first,0.2,0.35,1779992484150_aebe794717799924852896354,23,4,biMaxInfgain,minmax,noAug,noImbl,LogisticRegression
