Macro_Recall,FeatureNum,FS_Method,Scaler,AugName,ImblName,Model,Norm_Order,Prob_Threshold,Split_Ratio,Random_State,Timestamp,RunID,LogDir,Model_RunID,Accuracy,Macro_Precision,Macro_F1,Weighted_Precision,Weighted_Recall,Weighted_F1,Micro_Precision,Micro_Recall,Micro_F1,Integrated_Score
0.2766666666666666,7,biMeanInfgain,minmax,gaussian_noise,ADASYN,DTmodel,last,0.5,0.1,126,2026-02-22 20:26:27,20260222-075415,log/pimaindians_diabetes/7/biMeanInfgain/gaussian_noise__ADASYN__minmax/DTmodel,1771718062421_c4b64e6c17717631878307925,0.2597402597402597,0.2834051724137931,0.2592405063291139,0.3120521719659651,0.2597402597402597,0.2649876705572908,0.2597402597402597,0.2597402597402597,0.2597402597402597,0.269742731533707
0.3081481481481481,6,biMaxInfgain,minmax,gaussian_noise,SMOTE,DTmodel,last,0.5,0.1,126,2026-02-22 12:51:19,20260222-075415,log/pimaindians_diabetes/6/biMaxInfgain/gaussian_noise__SMOTE__minmax/DTmodel,1771718062421_c4b64e6c17717358796432726,0.3116883116883117,0.3238095238095237,0.3041773231031543,0.3636363636363636,0.3116883116883117,0.3257714152854817,0.3116883116883117,0.3116883116883117,0.3116883116883117,0.3187270389930236
0.3155555555555556,6,biMaxInfgain,minmax,gaussian_noise,TomekLinks,DTmodel,last,0.35,0.1,5012,2026-02-22 12:53:51,20260222-075415,log/pimaindians_diabetes/6/biMaxInfgain/gaussian_noise__TomekLinks__minmax/DTmodel,1771718062421_c4b64e6c17717360318974670,0.3766233766233766,0.3155555555555556,0.3155555555555556,0.3766233766233766,0.3766233766233766,0.3766233766233766,0.3766233766233766,0.3766233766233766,0.3766233766233766,0.3552496392496391
0.3296296296296296,7,biMaxInfgain,minmax,gaussian_noise,ADASYN,DTmodel,last,0.35,0.1,126,2026-02-22 18:50:58,20260222-075415,log/pimaindians_diabetes/7/biMaxInfgain/gaussian_noise__ADASYN__minmax/DTmodel,1771718062421_c4b64e6c17717574585521556,0.3506493506493506,0.3445945945945946,0.3315972222222222,0.391014391014391,0.3506493506493506,0.365304834054834,0.3506493506493506,0.3506493506493506,0.3506493506493506,0.3513189102251601
0.3296296296296296,6,biMeanInfgain,standard,gaussian_noise,ADASYN,DTmodel,first,0.35,0.1,5012,2026-02-22 14:44:30,20260222-075415,log/pimaindians_diabetes/6/biMeanInfgain/standard__gaussian_noise__ADASYN/DTmodel,1771718062421_c4b64e6c17717426709124359,0.3506493506493506,0.3445945945945946,0.3315972222222222,0.391014391014391,0.3506493506493506,0.365304834054834,0.3506493506493506,0.3506493506493506,0.3506493506493506,0.3513189102251601
