Part_Label,AugName:noAug,AugName:mixup,Model:sklearn_SVM,Split_Ratio:0.1,Model:GradientBoosting,Model:XGBmodel,ImblName:TomekLinks,Model:LogisticRegression,Prob_Threshold:0.5,ImblName:noImbl
AugName:noAug,,,0.9734636502545063,0.969742131118718,0.9546389491929409,0.9584165935239675,0.8623492327582878,0.9281831730488991,0.905476276485491,0.743658477174181
AugName:mixup,,,0.9555689367390514,0.9456063901283548,0.923688978253792,0.9297915254707618,0.904228294399204,0.8880797473441369,0.9388460098469091,0.7990577733132226
Model:sklearn_SVM,0.9734636502545063,0.9555689367390514,,0.9978984625164519,,,0.848860852889299,,0.8916036809918505,0.7448193586729532
Split_Ratio:0.1,0.969742131118718,0.9456063901283548,0.9978984625164519,,0.997684131547445,0.9987868102523576,0.8152963780659063,0.9878963559183891,0.862927119249951,0.702406137915192
Model:GradientBoosting,0.9546389491929409,0.923688978253792,,0.997684131547445,,,0.778185449011463,,0.8295014651438201,0.660910527365357
Model:XGBmodel,0.9584165935239675,0.9297915254707618,,0.9987868102523576,,,0.7919013301834392,,0.8416137441986449,0.6772460845272554
ImblName:TomekLinks,0.8623492327582878,0.904228294399204,0.848860852889299,0.8152963780659063,0.778185449011463,0.7919013301834392,,0.7238640249841263,0.9956541566876117,
Model:LogisticRegression,0.9281831730488991,0.8880797473441369,,0.9878963559183891,,,0.7238640249841263,,0.7796920362534517,0.6019956615570449
Prob_Threshold:0.5,0.905476276485491,0.9388460098469091,0.8916036809918505,0.862927119249951,0.8295014651438201,0.8416137441986449,0.9956541566876117,0.7796920362534517,,0.9569464018317461
ImblName:noImbl,0.743658477174181,0.7990577733132226,0.7448193586729532,0.702406137915192,0.660910527365357,0.6772460845272554,,0.6019956615570449,0.9569464018317461,
