Part_Label,AugName:gaussian_noise,Model:DTmodel,AugName:mixup,AugName:noAug,Model:sklearn_SVM,ImblName:ADASYN,Prob_Threshold:0.35,Split_Ratio:0.2,ImblName:TomekLinks,ImblName:noImbl,Prob_Threshold:0.5,Model:GradientBoosting,Model:LogisticRegression,Model:XGBmodel,Split_Ratio:0.1,ImblName:RandomUnderSampler,ImblName:SMOTE,Model:random_forest,FeatureNum:4.0,Norm_Order:last,FS_Method:biMaxInfgain,FS_Method:biMeanInfgain,FS_Method:infgain,FS_Method:noSelect,FeatureNum:5.0,FeatureNum:6.0,FeatureNum:7.0,FeatureNum:8.0,Norm_Order:first,Random_State:42.0,Scaler:minmax,Scaler:standard
AugName:gaussian_noise,,0.550993417265268,,,0.9604344512458229,0.9769932635729286,0.9792322555318502,0.9685728468338448,0.7183695188057958,0.6197747441652672,0.7670995153792903,0.9781960363501544,0.9865775205160057,0.9766036034499372,0.9677290858748931,0.9662003582133114,0.9714039007467794,0.9811914659191389,0.9591011189570586,0.9745242858119141,0.9707447890376738,0.9721875582084907,0.9605111322610347,0.9645201229401383,0.9709109563198264,0.9714261384944102,0.97107074186367,0.9645201229401383,0.9603955210264604,0.9684282366013133,0.9648309252197531,0.9672431354687547
Model:DTmodel,0.550993417265268,,0.8487606917430438,0.7878959059371085,,0.5010431927939365,0.5317083557718292,0.7117524997375004,0.9711262805439353,0.963194244893431,0.9557413543934025,,,,0.6905185912216814,0.5804603634833806,0.5750647389473243,,0.7363359354199989,0.6775013230372925,0.6856598689522962,0.6796211429908484,0.7365211254877738,0.7198930474909063,0.6874920447792063,0.6890696594866415,0.6884630140590772,0.7198930474909063,0.7271935250232976,0.7014825047520957,0.67047612601374,0.7315293401631564
AugName:mixup,,0.8487606917430438,,,0.9555689367390514,0.8565486204645563,0.8727790872586476,0.9463654729740946,0.904228294399204,0.7990577733132226,0.9388460098469091,0.923688978253792,0.8880797473441369,0.9297915254707618,0.9456063901283548,0.9067210216110526,0.9016647789800054,0.9117582079811898,0.957008766874539,0.9363713762918382,0.9418440884793924,0.9393224521246728,0.9552074113374097,0.9514179098121589,0.9419176571972673,0.94160571096423,0.9419146036111326,0.9514179098121589,0.9559966694368097,0.9462563906887076,0.9430416670742146,0.9447717169229755
AugName:noAug,,0.7878959059371085,,,0.9734636502545063,0.905513903110633,0.9182852031473141,0.9673078317364203,0.8623492327582878,0.743658477174181,0.905476276485491,0.9546389491929409,0.9281831730488991,0.9584165935239675,0.969742131118718,0.9462347955717721,0.9417848995817685,0.9463785629926668,0.9741046418362782,0.9624533515293235,0.9667275168663148,0.9650955105936264,0.9722555207251073,0.9710566572762025,0.9665770606880505,0.9659570889638032,0.9663754690755638,0.9710566572762025,0.9745381139684032,0.9687791239433968,0.970361682744285,0.9619555011865625
Model:sklearn_SVM,0.9604344512458229,,0.9555689367390514,0.9734636502545063,,0.9557054208489264,0.9655730957448844,0.9994403303269911,0.848860852889299,0.7448193586729532,0.8916036809918505,,,,0.9978984625164519,0.9759008442021866,0.9760592823542815,,0.9999254466315174,0.9969834924504694,0.9976711799207443,0.9971087826217866,0.9998895961784228,0.9997638860152926,0.9978995007945087,0.998033550119873,0.9979773637746755,0.9997638860152926,0.9998508786664627,0.9989601660655233,0.9946951527606763,0.9983408720184083
ImblName:ADASYN,0.9769932635729286,0.5010431927939365,0.8565486204645563,0.905513903110633,0.9557054208489264,,0.9993182323625346,0.9633491382369417,,,0.7196970778427437,0.9845810268162785,0.994961184676302,0.9804971705130777,0.9716803369975915,,,0.9900131194386492,0.9538160908233202,0.9753628933763758,0.9731620508768405,0.9750065382134233,0.9533580512539719,0.9605724110474648,0.972565227549845,0.9718647548291226,0.9721488385404374,0.9605724110474648,0.9579850709315663,0.9677268040632027,0.9776098716043939,0.9518762066207173
Prob_Threshold:0.35,0.9792322555318502,0.5317083557718292,0.8727790872586476,0.9182852031473141,0.9655730957448844,0.9993182323625346,,0.9722055281312669,0.6829466822778534,0.5515929475750512,,0.9898192760083526,0.9977362299985801,0.9864939512789715,0.9793268951465275,0.9964519823854309,0.9978693151905762,0.9941039246445416,0.9638453662127721,0.9824887927561194,0.9806219725796379,0.9821828992654525,0.9634406747721505,0.9697483335871786,0.9801533727953337,0.9795080899933856,0.9797618214729606,0.9697483335871786,0.9674984786377857,0.9759891646882519,0.9844027453306029,0.96169413680347
Split_Ratio:0.2,0.9685728468338448,0.7117524997375004,0.9463654729740946,0.9673078317364203,0.9994403303269911,0.9633491382369417,0.9722055281312669,,0.834887253895116,0.7297377681390448,0.8790186675202465,0.9948443759296823,0.9838252766557493,0.9967400944670151,,0.9800010327982925,0.9807031069097893,0.9911504918879699,0.9992881054027766,0.9987607061062372,0.9989884334522457,0.998676707284855,0.9993469671147673,0.999850578620052,0.9991652220433138,0.9993205820437917,0.9992441565055532,0.999850578620052,0.9994963314779288,0.9997276932091298,0.9959775043489468,0.9985441315223912
ImblName:TomekLinks,0.7183695188057958,0.9711262805439353,0.904228294399204,0.8623492327582878,0.848860852889299,,0.6829466822778534,0.834887253895116,,,0.9956541566876117,0.7781854490114638,0.7238640249841263,0.7919013301834382,0.8152963780659057,,,0.7564275055463061,0.8525461701560537,0.8070817540782388,0.8123900959741809,0.8077252723681407,0.8535296351542211,0.8404841688641616,0.8139266060793514,0.8159509521122187,0.8151382153999628,0.8404841688641616,0.8447920792533462,0.825461865005687,0.7942601827470597,0.8550683636207325
ImblName:noImbl,0.6197747441652672,0.963194244893431,0.7990577733132226,0.743658477174181,0.7448193586729532,,0.5515929475750512,0.7297377681390448,,,0.9569464018317444,0.6609105273653572,0.6019956615570439,0.6772460845272539,0.7024061379151907,,,0.6361228739047635,0.7492755506134807,0.6954766637397168,0.7002111566180379,0.6948890090699849,0.7515782703438441,0.7350700297506073,0.7023585958043879,0.705366540788067,0.7040633485398267,0.7350700297506073,0.7388362254767247,0.7164663139717052,0.6739790764136099,0.7589275817364688
Prob_Threshold:0.5,0.7670995153792903,0.9557413543934025,0.9388460098469091,0.905476276485491,0.8916036809918505,0.7196970778427437,,0.8790186675202465,0.9956541566876117,0.9569464018317444,,0.8295014651438218,0.7796920362534523,0.8416137441986452,0.8629271192499516,0.775632223671099,0.7741301750564975,0.8099272713701892,0.8947722943487133,0.8549785702569103,0.8600554072117508,0.8558986606486344,0.8953294299423735,0.8842520665082354,0.8613255256597925,0.8629395258027802,0.8623166006067429,0.8842520665082354,0.8883499643902991,0.8713309982506955,0.8452635397657862,0.8951089522732758
