Timestamp,RunID,LogDir,Norm_Order,Model_RunID,Split_Ratio,Prob_Threshold,Random_State,FeatureNum,FS_Method,Scaler,AugName,ImblName,Model,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Precision,Weighted_Recall,Weighted_F1,Micro_Precision,Micro_Recall,Micro_F1,Integrated_Score
2026-05-28 06:41:06,20260528-064025,log/pimaindians_diabetes_v2/4/biMaxInfgain/minmax__noAug__noImbl/GradientBoosting,first,1779921664013_78b674fd17799216665768751,0.1,0.35,126,4,biMaxInfgain,minmax,noAug,noImbl,GradientBoosting,0.7662337662337663,0.75,0.768888888888889,0.7542553191489361,0.7839433293978748,0.7662337662337663,0.7704614534401768,0.7662337662337663,0.7662337662337663,0.7662337662337663,0.7654842442105496
2026-05-28 06:41:06,20260528-064025,log/pimaindians_diabetes_v2/4/biMaxInfgain/minmax__noAug__noImbl/sklearn_SVM,first,1779921664013_78b674fd17799216667395709,0.1,0.35,5012,4,biMaxInfgain,minmax,noAug,noImbl,sklearn_SVM,0.7532467532467533,0.729559748427673,0.7162962962962962,0.7214924804873406,0.7483459936290124,0.7532467532467533,0.7495827986975903,0.7532467532467533,0.7532467532467533,0.7532467532467532,0.7413801970117389
2026-05-28 06:41:06,20260528-064025,log/pimaindians_diabetes_v2/4/biMaxInfgain/minmax__noAug__noImbl/random_forest,first,1779921664013_78b674fd17799216669886786,0.1,0.35,5012,4,biMaxInfgain,minmax,noAug,noImbl,random_forest,0.7142857142857143,0.696969696969697,0.7118518518518518,0.699645390070922,0.7331759149940968,0.7142857142857143,0.719452887537994,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7127787737371875
2026-05-28 06:41:07,20260528-064025,log/pimaindians_diabetes_v2/4/biMaxInfgain/minmax__noAug__noImbl/XGBmodel,first,1779921664013_78b674fd17799216671450337,0.1,0.35,5012,4,biMaxInfgain,minmax,noAug,noImbl,XGBmodel,0.7532467532467533,0.7295918367346939,0.7333333333333334,0.7313131313131314,0.755499602438378,0.7532467532467533,0.7542437360619179,0.7532467532467533,0.7532467532467533,0.7532467532467532,0.7459747086555988
2026-05-28 06:41:07,20260528-064025,log/pimaindians_diabetes_v2/4/biMaxInfgain/minmax__noAug__noImbl/DTmodel,first,1779921664013_78b674fd17799216672690697,0.1,0.35,5012,4,biMaxInfgain,minmax,noAug,noImbl,DTmodel,0.7402597402597403,0.7149758454106281,0.6977777777777778,0.7038461538461538,0.7337348641696468,0.7402597402597403,0.7348651348651349,0.7402597402597403,0.7402597402597403,0.7402597402597403,0.7265594381463947
2026-05-28 06:41:07,20260528-064025,log/pimaindians_diabetes_v2/4/biMaxInfgain/minmax__noAug__noImbl/LogisticRegression,first,1779921664013_78b674fd17799216675144847,0.1,0.35,5012,4,biMaxInfgain,minmax,noAug,noImbl,LogisticRegression,0.7142857142857143,0.6889367816091954,0.6948148148148148,0.6913265306122449,0.7196223316912971,0.7142857142857143,0.7164723032069972,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7072215035987025
2026-05-28 06:41:07,20260528-064025,log/pimaindians_diabetes_v2/4/biMaxInfgain/minmax__noAug__noImbl/GradientBoosting,first,1779921664013_78b674fd17799216677303820,0.1,0.35,5012,4,biMaxInfgain,minmax,noAug,noImbl,GradientBoosting,0.7922077922077922,0.7718518518518518,0.7718518518518518,0.7718518518518518,0.7922077922077922,0.7922077922077922,0.7922077922077922,0.7922077922077922,0.7922077922077922,0.7922077922077922,0.785083213083213
2026-05-28 06:41:07,20260528-064025,log/pimaindians_diabetes_v2/4/biMaxInfgain/minmax__noAug__noImbl/sklearn_SVM,first,1779921664013_78b674fd17799216678921666,0.1,0.5,23,4,biMaxInfgain,minmax,noAug,noImbl,sklearn_SVM,0.7142857142857143,0.6862962962962963,0.6862962962962963,0.6862962962962963,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7044894179894178
2026-05-28 06:41:08,20260528-064025,log/pimaindians_diabetes_v2/4/biMaxInfgain/minmax__noAug__noImbl/random_forest,first,1779921664013_78b674fd17799216681385157,0.1,0.5,23,4,biMaxInfgain,minmax,noAug,noImbl,random_forest,0.6883116883116883,0.6654978962131837,0.6748148148148148,0.6681034482758621,0.7004790440975573,0.6883116883116883,0.6925660546350201,0.6883116883116883,0.6883116883116883,0.6883116883116883,0.6835042762738631
2026-05-28 06:41:08,20260528-064025,log/pimaindians_diabetes_v2/4/biMaxInfgain/minmax__noAug__noImbl/XGBmodel,first,1779921664013_78b674fd17799216682951619,0.1,0.5,23,4,biMaxInfgain,minmax,noAug,noImbl,XGBmodel,0.6753246753246753,0.6387578616352201,0.6307407407407407,0.6335427374833429,0.6677591276647881,0.6753246753246753,0.6705036824968292,0.6753246753246753,0.6753246753246753,0.6753246753246753,0.6594626061309707
