Metric,AugName:noAug,AugName:mixup,Split_Ratio:0.1,Prob_Threshold:0.5,ImblName:TomekLinks,ImblName:noImbl,Norm_Order:first,FS_Method:noSelect,FeatureNum:8.0,FeatureNum:7.0
Accuracy,0.7314248251748252,0.7305319680319681,0.6956293706293707,0.7112512487512488,0.7034527972027972,0.7030365467865468,0.6871919746919747,0.6833333333333333,0.6833333333333333,0.6815205627705628
Macro_F1,0.7227472188051743,0.7197318763752765,0.6803721425272604,0.68614404479418,0.6802368476782674,0.6768789762624746,0.6705820311891078,0.6654540472890385,0.6654540472890385,0.6641890191625699
Macro_Precision,0.7365906497711129,0.7308541029994832,0.7177226338048497,0.6953550893629855,0.7017733325556569,0.6975873073872098,0.7027333897088989,0.707877577937186,0.707877577937186,0.705604359351717
Macro_Recall,0.7518372507122507,0.7451212606837607,0.7204373219373219,0.6996616809116809,0.7043773741690408,0.6967874525166192,0.7056513532763532,0.7061026234567901,0.7061026234567901,0.7060082304526749
Weighted_F1,0.7353644087441928,0.7342432519901748,0.689996860528347,0.71006903485676,0.7002766257916322,0.6991665485128424,0.6831383449610372,0.6758217259474503,0.6758217259474503,0.6740341599015258
Weighted_Precision,0.780405961252125,0.7726529984202889,0.7632219104755512,0.729244497809407,0.7406060522200926,0.7336291231181007,0.7469651790246152,0.7535288179517802,0.7535288179517802,0.7518336901332957
