Metric,Model:LogisticRegression,Split_Ratio:0.3,FeatureNum:4.0,Split_Ratio:0.25,Scaler:standard,Model:XGBmodel,Model:random_forest,FS_Method:infgain,Split_Ratio:0.2,Model:GradientBoosting
Accuracy,0.7597833839213151,0.7511022927689595,0.737211924509877,0.7374855324074074,0.7347525309540396,0.7357842329286295,0.7292324673251397,0.7316884982833258,0.7308501683501684,0.7304154797150487
Macro_F1,0.7277680568771852,0.720307647494621,0.7017298488347793,0.7020302315782415,0.7001451197920121,0.6962658244461285,0.7001326257110871,0.6957065086015739,0.6967469743882702,0.6967374728085411
Macro_Precision,0.7420842008216397,0.7301957426866947,0.7153626342334941,0.7140418605820784,0.7103852359469617,0.7108004498292192,0.7042052985164983,0.7084664283872946,0.7072726561423258,0.704548865760005
Macro_Recall,0.7228821717166819,0.7164328989483311,0.6968952989277136,0.6970251520176893,0.695963312229194,0.6910944325373349,0.6993799051094969,0.6915690329925259,0.6932338820301782,0.6934849434870267
Weighted_F1,0.7555481103748486,0.7477722792636713,0.7324390143705454,0.7328505144529236,0.7306468820355698,0.729114727621622,0.72802846986185,0.7268989598131836,0.7267671370834107,0.7270200299278201
Weighted_Precision,0.7591168940890225,0.7494457178781652,0.7349187015038743,0.7340004985857798,0.7315720550507671,0.7301349090532295,0.7296735123398931,0.7292556550288823,0.7285496595698717,0.7274491183579411
