Cluster,Part
1,AugName:gaussian_noise
3,AugName:mixup
3,AugName:noAug
3,Model:sklearn_SVM
10,FS_Method:biMaxInfgain
10,FS_Method:biMeanInfgain
10,FS_Method:infgain
10,FS_Method:noSelect
10,FeatureNum:4.0
10,FeatureNum:5.0
10,FeatureNum:6.0
10,FeatureNum:7.0
10,FeatureNum:8.0
10,Norm_Order:first
10,Norm_Order:last
10,Scaler:minmax
10,Scaler:standard
4,ImblName:ADASYN
4,Prob_Threshold:0.35
9,ImblName:RandomUnderSampler
9,ImblName:SMOTE
9,Model:random_forest
6,ImblName:TomekLinks
6,ImblName:noImbl
6,Prob_Threshold:0.5
2,Model:DTmodel
7,Model:GradientBoosting
7,Model:XGBmodel
7,Split_Ratio:0.1
8,Model:LogisticRegression
5,Split_Ratio:0.2
