Metric,Mean,Std
Accuracy,0.7362614237614238,0.039815227279552154
Macro_Precision,0.7153358599561657,0.04581751903408567
Macro_Recall,0.6950145747599451,0.033198155567789815
Macro_F1,0.7004712693694446,0.036811795129821454
Weighted_Precision,0.7336537657077187,0.03655420796024764
Weighted_Recall,0.7362614237614238,0.039815227279552154
Weighted_F1,0.7310705377230547,0.03631863344910719
Micro_Precision,0.7362614237614238,0.039815227279552154
Micro_Recall,0.7362614237614238,0.039815227279552154
Micro_F1,0.7362614237614237,0.03981522727955214
Integrated_Score,0.7236362606108273,0.038176288200118536
