Metric,ImblMethod:ADASYN,AugMethod:gaussian_noise,ImblMethod:SMOTE,Prob_Threshold:0.35,Model:random_forest,Split_Ratio:0.1,Model:XGBmodel,Model:GradientBoosting,InfoGain:biMaxInfgain,InfoGain:biMeanInfgain
Accuracy,0.11884485303578575,0.11238811712652502,0.10379300976397314,0.10192111319030234,0.09948192433252398,0.09602468281024058,0.10235133284140564,0.09973758488842624,0.09363825278885979,0.09369963723777006
Macro_F1,0.12948900333578325,0.11395607660810443,0.11006172067872536,0.10979943621444521,0.10844654605939405,0.10423658167417804,0.11162191534905191,0.11063320954037872,0.10101785113016519,0.10116305895166816
Macro_Precision,0.08121768813391753,0.08456753220688201,0.0721842203819303,0.06935449984285182,0.07020990822200839,0.07435630262723242,0.06119093922427035,0.06024882613253721,0.07171201482335635,0.07018078681038759
Macro_Recall,0.09515179932098956,0.08501989189374425,0.08647244518564172,0.08287877050581086,0.0859024637173136,0.08736690201531694,0.08057281827935515,0.07817721722326679,0.08305334605441284,0.08296523338575279
Weighted_F1,0.1476596477156906,0.13353935473896586,0.12296930777122948,0.12451627356541171,0.11821389895729154,0.11199151974207844,0.12609387367823055,0.1252640477393623,0.11007150529001074,0.11035371723987368
Weighted_Precision,0.08473549471107798,0.0859491738730796,0.07330131306601292,0.07237397412372241,0.07008315398319084,0.07540761286944071,0.062033548748580684,0.06290959031160842,0.07325252798936484,0.07137810321844194
