Metric,ImblMethod:ADASYN,AugMethod:gaussian_noise,ImblMethod:SMOTE,Prob_Threshold:0.35,Split_Ratio:0.1,Model:XGBmodel,Model:random_forest,Model:GradientBoosting,InfoGain:biMaxInfgain,NormOrder:Last
Accuracy,0.11744582014188666,0.1124480919174967,0.10531457261411939,0.10251054075384573,0.0970958458262117,0.10411937130683892,0.09947665831611963,0.09962689505217939,0.09381173585364178,0.09303139614570904
Macro_F1,0.12802259468353913,0.11378523450079002,0.1119546888263307,0.11049977879753979,0.10517367615048019,0.11342132307190027,0.10757747355956818,0.11037928010969675,0.10100332600246942,0.09999579326016841
Macro_Precision,0.07920808248878644,0.08428691712513785,0.07443589396595414,0.06935153827970235,0.07495597783488663,0.0626160627400829,0.06838622205782245,0.05897914593607907,0.07072467402980386,0.07124295150469918
Macro_Recall,0.09434150181414919,0.08489644372176733,0.08820916100980042,0.0834004288163194,0.08822585227137181,0.08151536216761657,0.08482893327888064,0.07801241100879822,0.08270923012198643,0.08325722666048312
Weighted_F1,0.14585787728293703,0.13362705862995347,0.12500799456144757,0.12528720475913316,0.11319770948034957,0.12844231111465346,0.11799071318098639,0.1250261642627017,0.11045913403627125,0.10917314946424696
Weighted_Precision,0.08247531794061286,0.08565039641303843,0.07559460902048289,0.07224139505935587,0.07601198082426668,0.06337750463194884,0.06821721099567932,0.06147616476524137,0.07226538349684582,0.07317505307889202
