Part_Label,Model:sklearn_SVM,AugName:noAug,AugName:mixup,Model:LogisticRegression,ImblName:TomekLinks,Split_Ratio:0.1,Prob_Threshold:0.5,ImblName:noImbl,Scaler:standard,FS_Method:biMeanInfgain
Model:sklearn_SVM,,0.9716763518473703,0.9460484909140982,,0.8643375435926448,0.9867745626892157,0.8839887569222354,0.7838729475291445,0.994113738562526,0.9954125329020411
AugName:noAug,0.9716763518473703,,,0.9512401832312131,0.8749964056511842,0.959746110427994,0.8990696674279124,0.7850405017812949,0.968089302912018,0.9713013991440997
AugName:mixup,0.9460484909140982,,,0.8989986982426255,0.9425692773833456,0.9062148631025385,0.9589887049854634,0.8761552236390888,0.9241236532430337,0.9300212034577148
Model:LogisticRegression,,0.9512401832312131,0.8989986982426255,,0.7788575963235278,0.9985886020839615,0.8041451571627237,0.6821112264627394,0.9976963249348634,0.9966877690693231
ImblName:TomekLinks,0.8643375435926448,0.8749964056511842,0.9425692773833456,0.7788575963235278,,0.7757713304827372,0.9985457649625967,,0.8090319225234122,0.8180193874913342
Split_Ratio:0.1,0.9867745626892157,0.959746110427994,0.9062148631025385,0.9985886020839615,0.7757713304827372,,0.8024642236044408,0.6747161075177885,0.9984744321814825,0.9975430549628386
Prob_Threshold:0.5,0.8839887569222354,0.8990696674279124,0.9589887049854634,0.8041451571627237,0.9985457649625967,0.8024642236044408,,0.9767216898334379,0.8335117266402554,0.8420904998187749
ImblName:noImbl,0.7838729475291445,0.7850405017812949,0.8761552236390888,0.6821112264627394,,0.6747161075177885,0.9767216898334379,,0.714337646083183,0.7246467872739116
Scaler:standard,0.994113738562526,0.968089302912018,0.9241236532430337,0.9976963249348634,0.8090319225234122,0.9984744321814825,0.8335117266402554,0.714337646083183,,0.9998684230401707
FS_Method:biMeanInfgain,0.9954125329020411,0.9713013991440997,0.9300212034577148,0.9966877690693231,0.8180193874913342,0.9975430549628386,0.8420904998187749,0.7246467872739116,0.9998684230401707,
