Part_Label,Split_Ratio:0.1,ImblName:ADASYN,Prob_Threshold:0.35,Scaler:standard,FS_Method:biMaxInfgain,ImblName:SMOTE,FS_Method:biMeanInfgain,Norm_Order:last,Model:random_forest,FeatureNum:5.0
Split_Ratio:0.1,,0.9847776919099649,0.9847938873385891,0.9984744321814825,0.9976728831399669,0.9970535889706146,0.9975430549628386,0.9993367157452165,0.9937703851237275,0.9977307658270772
ImblName:ADASYN,0.9847776919099649,,0.9999780504186303,0.9741670287780643,0.9709625136431751,,0.9704661194812688,0.979636117766051,0.9971030751407778,0.9709210948784301
Prob_Threshold:0.35,0.9847938873385891,0.9999780504186303,,0.9740925513591366,0.9708900179763683,0.9932710332753747,0.9704091753362564,0.979521411720903,0.9968808209259937,0.9708995710666778
Scaler:standard,0.9984744321814825,0.9741670287780643,0.9740925513591366,,0.9998898815422784,0.9914549037750029,0.9998684230401707,0.9996066773565844,0.9872503870396744,0.9998284291572023
FS_Method:biMaxInfgain,0.9976728831399669,0.9709625136431751,0.9708900179763683,0.9998898815422784,,0.9898898133133484,,0.9990921561562396,0.9849529148201217,0.9999624216754253
ImblName:SMOTE,0.9970535889706146,,0.9932710332753747,0.9914549037750029,0.9898898133133484,,0.989591368003073,0.9936624663999881,0.9964357865605687,0.9902592388411192
FS_Method:biMeanInfgain,0.9975430549628386,0.9704661194812688,0.9704091753362564,0.9998684230401707,,0.989591368003073,,0.9990300302558988,0.9845445495733283,0.9999538908353729
Norm_Order:last,0.9993367157452165,0.979636117766051,0.979521411720903,0.9996066773565844,0.9990921561562396,0.9936624663999881,0.9990300302558988,,0.9911562497702605,0.9989477353760571
Model:random_forest,0.9937703851237275,0.9971030751407778,0.9968808209259937,0.9872503870396744,0.9849529148201217,0.9964357865605687,0.9845445495733283,0.9911562497702605,,0.9846657287612794
FeatureNum:5.0,0.9977307658270772,0.9709210948784301,0.9708995710666778,0.9998284291572023,0.9999624216754253,0.9902592388411192,0.9999538908353729,0.9989477353760571,0.9846657287612794,
