Model,nrrs
LogisticRegression,0.2886751345948129
DTmodel,1.0
XGBmodel,1.0059216977610543
GradientBoosting,1.0773502691896257
random_forest,1.2637626158259732
sklearn_SVM,1.3571428571428572
