Model,nrrs
LogisticRegression,0.5773502691896258
DTmodel,1.0
sklearn_SVM,1.1428571428571428
random_forest,1.2916359834753401
XGBmodel,1.3571428571428572
GradientBoosting,1.5714285714285716
