Metric,AugMethod,FeatureNum,ImblMethod,InfoGain,Model,NormOrder,Prob_Threshold,Scaler,Split_Ratio
Accuracy,0.392703795548843,0.0,0.18791761167612953,0.021498039449048836,0.20583694130077074,0.012982548468843724,0.0,0.006386823985718151,0.0
Macro_F1,0.4538058952661565,0.0,0.1014680103119332,0.02256861639348745,0.19768270855903264,0.012195163673461698,0.0,0.007070656099419632,0.0
Macro_Precision,0.3436393030811514,0.0,0.062419828652473086,0.03372626536423361,0.40045248719850746,0.01771794183592386,0.0,0.014707395303011593,0.0
Macro_Recall,0.430823962769165,0.0,0.11709285744739334,0.026187658622313034,0.27205300686093004,0.013406156860172975,0.0,0.008550994140271925,0.0
Weighted_F1,0.40447752085753086,0.0,0.1537414058810845,0.021386414095433168,0.18747394021829109,0.012605362213771391,0.0,0.006056368194463995,0.0
Weighted_Precision,0.28960384790194954,0.0,0.08098845295288017,0.03620435244641347,0.4108534411035212,0.020925006841360727,0.0,0.016325147819769487,0.0
