Metric,Split_Ratio:0.1,Model:sklearn_SVM,Model:LogisticRegression,Model:GradientBoosting,Split_Ratio:0.3,Model:XGBmodel,FeatureNum:5.0,FS_Method:biMaxInfgain,Model:random_forest,FeatureNum:7.0
Accuracy,0.7572150072150072,0.7598269097999701,0.757445166981805,0.7412083944950325,0.7418630751964086,0.7395652958152958,0.7390929188747076,0.7362743234375777,0.7349997304738684,0.7353203078351246
Macro_F1,0.7210032439154488,0.714824839871187,0.7139799494174643,0.7063587461832379,0.7030233010351226,0.7063006658490177,0.7039812372242686,0.701279082814051,0.7027446726735176,0.6990669179302319
Macro_Precision,0.7390653362301963,0.7474525508353012,0.7427120691624644,0.7175000549113892,0.7244391818923899,0.7145159832831189,0.718160326093732,0.7145272885046209,0.7098235022486872,0.7131391999099362
Macro_Recall,0.71394890260631,0.7046806870186645,0.7044390476683078,0.7021689837039623,0.6971061957018747,0.7029803501444478,0.6993714492433867,0.6974454803225587,0.7000955815464588,0.6945118158193762
Weighted_F1,0.7508384490601278,0.7488901313558687,0.7475097801546298,0.7366543745344336,0.7346748950531068,0.7359347072376775,0.7343798681482631,0.7317196658989118,0.7320809748706772,0.7302140499278171
Weighted_Precision,0.7535067539786419,0.7561750472023475,0.7531614683847556,0.7378097934714818,0.7400709702418538,0.7363558323073989,0.7374870888810451,0.7348849778946467,0.7328386475209222,0.7329362239417923
