Metric,AugName:noAug,AugName:mixup,Model:sklearn_SVM,Split_Ratio:0.1,Model:GradientBoosting,Model:XGBmodel,ImblName:TomekLinks,Model:LogisticRegression,Prob_Threshold:0.5,ImblName:noImbl
Accuracy,0.7213411588411589,0.7237783050283051,0.7156718281718282,0.7003857253857254,0.6966908091908092,0.6956772394272395,0.7106157731157731,0.6862179487179487,0.7070492007992007,0.7109019452769453
Macro_F1,0.7096019067270186,0.7104910820978881,0.6984936926052481,0.6839605132907715,0.6798442536117565,0.6783414783845817,0.6855615070012285,0.671842117627542,0.6839174000436172,0.6804814124520775
Macro_Precision,0.7217593950230082,0.7198201846145572,0.7244403136805628,0.711591917795945,0.7120151317645728,0.7093792090334086,0.698162417640364,0.7138256584795291,0.6968507817069566,0.6948931626140004
Macro_Recall,0.7341980353751187,0.7318529202279203,0.725792497625831,0.7145045504906615,0.714323777302944,0.7115461182336182,0.698829485201013,0.7115960351377019,0.6989698282684393,0.6899795722538778
Weighted_F1,0.7247433509204483,0.7270771112636961,0.7141673513459192,0.697758358124053,0.6919461117403506,0.6910493534650233,0.7093155665513818,0.6818820855345497,0.7063019834368521,0.7074440626215344
Weighted_Precision,0.7634310338018458,0.7595942610518535,0.7645115290290486,0.753389190541717,0.7545594848263735,0.7513600122663623,0.7314599459321289,0.7611489853522483,0.7311813103722578,0.7250881009035275
