Part_Label,Model:LogisticRegression,AugName:mixup,AugName:noAug,Model:sklearn_SVM,Split_Ratio:0.2,ImblName:noImbl,ImblName:TomekLinks,Prob_Threshold:0.5,Scaler:standard,FeatureNum:4.0
Model:LogisticRegression,,0.8427150223338057,0.9069481927415515,,0.9665621423909699,0.6265836756072958,0.7054474366892572,0.6957578244933956,0.9750941007086915,0.9666744656706371
AugName:mixup,0.8427150223338057,,,0.9513544895844391,0.9508534482235123,0.8863638423066599,0.9448069814668024,0.9465534722838709,0.9397063585074702,0.952015598652701
AugName:noAug,0.9069481927415515,,,0.9724176226312464,0.9798069039639004,0.8186818316111046,0.8921794995069198,0.8923280194396447,0.9738796458733091,0.9817392476486219
Model:sklearn_SVM,,0.9513544895844391,0.9724176226312464,,0.9966704573388423,0.8244895990577343,0.8819704802582987,0.8753994411934057,0.9947397787618963,0.9954247710690979
Split_Ratio:0.2,0.9665621423909699,0.9508534482235123,0.9798069039639004,0.9966704573388423,,0.7879896422476401,0.8562857882728765,0.8507351484314948,0.999352961511649,0.9997917994080642
ImblName:noImbl,0.6265836756072958,0.8863638423066599,0.8186818316111046,0.8244895990577343,0.7879896422476401,,,0.9871803919751768,0.7675076240674114,0.7829520747464219
ImblName:TomekLinks,0.7054474366892572,0.9448069814668024,0.8921794995069198,0.8819704802582987,0.8562857882728765,,,0.9995569094469169,0.8379522887027638,0.853152613221099
Prob_Threshold:0.5,0.6957578244933956,0.9465534722838709,0.8923280194396447,0.8753994411934057,0.8507351484314948,0.9871803919751768,0.9995569094469169,,0.8318471464763558,0.8480508919505189
Scaler:standard,0.9750941007086915,0.9397063585074702,0.9738796458733091,0.9947397787618963,0.999352961511649,0.7675076240674114,0.8379522887027638,0.8318471464763558,,0.9992036154948838
FeatureNum:4.0,0.9666744656706371,0.952015598652701,0.9817392476486219,0.9954247710690979,0.9997917994080642,0.7829520747464219,0.853152613221099,0.8480508919505189,0.9992036154948838,
