Part_Label,FS_Method:infgain,FeatureNum:4.0,FeatureNum:5.0,Model:GradientBoosting,Model:XGBmodel,Norm_Order:first,Scaler:standard,ImblName:TomekLinks,ImblName:noImbl,Prob_Threshold:0.5,Model:sklearn_SVM,Split_Ratio:0.2,AugName:mixup,AugName:noAug,Model:LogisticRegression,FS_Method:biMaxInfgain,FS_Method:biMeanInfgain,FS_Method:noSelect,FeatureNum:6.0,FeatureNum:7.0,FeatureNum:8.0,ImblName:SMOTE,Norm_Order:last,Scaler:minmax,ImblName:ADASYN,ImblName:RandomUnderSampler,Model:random_forest,Prob_Threshold:0.35,Split_Ratio:0.1,AugName:gaussian_noise,Model:DTmodel
FS_Method:infgain,,0.9988690922207296,0.9977503466926062,0.9970593524909873,0.9992655885817469,0.9987235145777927,0.9990243990613714,0.8576523949909268,0.7926954530698764,0.8513432797868188,0.998272591516669,0.9994554527472029,0.945706705242277,0.974369577463042,0.9684381116365085,,,,0.9999040607416387,0.9991915299622869,0.9990368454813039,0.9851828320505279,0.9967924809900546,0.9997892041563105,0.9676140379473436,0.9639806544804539,0.9822302612943856,0.9615033678092039,0.9990563065360514,0.9680082573237909,0.7188672110682817
FeatureNum:4.0,0.9988690922207296,,,0.9981271394021419,0.999573566839273,0.9986724412549352,0.9992036154948823,0.8531526132210964,0.7829520747464199,0.8480508919505185,0.9954247710690961,0.9997917994080631,0.9520155986527,0.98173924764862,0.9666744656706371,0.9994334328253404,0.9996209572636491,0.9981628718677457,,,,0.9882392707356581,0.9967778403979373,0.999549866250879,0.9691103953356777,0.9670597056474748,0.9831919634412849,0.962986738031847,0.9986960920869866,0.9616918690590314,0.7226933837331273
FeatureNum:5.0,0.9977503466926062,,,0.999629391795112,0.9985833728573739,0.99618592292498,0.999590158584194,0.8333406297756298,0.7596122041749457,0.8279304083963756,0.9923222963412797,0.9989363566398757,0.9421158044718166,0.9773174343861556,0.9741706137070437,0.999778230783551,0.999755944747127,0.9986957722597973,,,,0.9932578842904529,0.9986621085585983,0.9988791052030151,0.9774043440775495,0.9757833526288872,0.9891944599212152,0.972115946360897,0.999183628080202,0.9678116413259263,0.6978648626957733
Model:GradientBoosting,0.9970593524909873,0.9981271394021419,0.999629391795112,,,0.9944270165736814,0.9994575836144772,0.8230172215412407,0.7488015535651764,0.8170083038081916,,0.9980568603673807,0.9341956166247897,0.9722073764068301,,0.9995105783443006,0.9993270976436086,0.9989699132744131,0.9964167150102492,0.9990381462733025,0.9989699132744131,0.994946065456504,0.9994409632325613,0.9982145878360971,0.9814245376482508,0.9795400946175666,,0.976635677671364,0.9992109741439312,0.9729397164614222,
Model:XGBmodel,0.9992655885817469,0.999573566839273,0.9985833728573739,,,0.9991862700254128,0.9990458432380086,0.8593134797220207,0.7914297913509086,0.8537768917148951,,0.9999268238277292,0.9524310199633997,0.9804504298307597,,0.9991925337637436,0.9993591499360047,0.9983045719773231,0.9990248102953729,0.9986293352071454,0.9983045719773231,0.9861200182066788,0.9962884418198452,0.99965869666142,0.9665946789821976,0.9638688290209055,,0.9603004389690954,0.9985310679719602,0.9620886608426327,
Norm_Order:first,0.9987235145777927,0.9986724412549352,0.99618592292498,0.9944270165736814,0.9991862700254128,,0.9969433178218571,0.8776820263487679,0.813425249210637,0.8725297782448832,0.9981752545724575,0.9990597627040638,0.9608610193117328,0.9833542282780086,0.9556588502438711,0.9971287585369852,0.9975232620913073,0.9960384378351885,0.9985765909500958,0.9964875592059398,0.9960384378351885,0.9794171399022902,,0.9986505404451163,0.9566359409656017,0.953531846405736,0.9742489375657647,0.9495020197640076,0.9963692480418318,0.9542004804901064,0.750871992679645
Scaler:standard,0.9990243990613714,0.9992036154948823,0.999590158584194,0.9994575836144772,0.9990458432380086,0.9969433178218571,,0.837952288702763,0.7675076240674112,0.8318471464763575,0.994739778761896,0.9993529615116495,0.9397063585074711,0.9738796458733087,0.9750941007086926,0.9999551908042535,0.999908208204716,0.999710272151359,0.9985742277646814,0.99981060920315,0.999710272151359,0.9916294605621068,0.9990667573818609,,0.9764193390849656,0.9738327402735715,0.9887666797667922,0.9710729854622561,0.9998894270273949,0.9715514584414855,0.6978814954108257
ImblName:TomekLinks,0.8576523949909268,0.8531526132210964,0.8333406297756298,0.8230172215412407,0.8593134797220207,0.8776820263487679,0.837952288702763,,,0.9995569094469169,0.8819704802582996,0.8562857882728776,0.9448069814668041,0.8921794995069194,0.7054474366892601,0.8389824463442106,0.8418497446958679,0.8348759736991818,0.8602570732066087,0.8371904427023794,0.8348759736991818,,0.8144966738682722,0.8525367948059307,,,0.7490493487773079,0.6836716551216787,0.835222585357286,0.7236068048130997,0.9590519447800865
ImblName:noImbl,0.7926954530698764,0.7829520747464199,0.7596122041749457,0.7488015535651764,0.7914297913509086,0.813425249210637,0.7675076240674112,,,0.9871803919751768,0.8244895990577346,0.7879896422476403,0.8863638423066613,0.8186818316111037,0.6265836756072976,0.7678274122990465,0.7709642030896893,0.766240970225794,0.7967368023668367,0.7685045503239173,0.766240970225794,,0.7415948988630334,0.7849496226166263,,,0.6672263153151616,0.5957712045250799,0.7656055570942317,0.656805022597121,0.9509054247959526
Prob_Threshold:0.5,0.8513432797868188,0.8480508919505185,0.8279304083963756,0.8170083038081916,0.8537768917148951,0.8725297782448832,0.8318471464763575,0.9995569094469169,0.9871803919751768,,0.8753994411934045,0.8507351484314936,0.9465534722838711,0.8923280194396425,0.6957578244933952,0.8331355844401789,0.8361227256375152,0.8280872299056572,0.8536774217086316,0.830541260484982,0.8280872299056572,0.7577583345574264,0.8077286255181771,0.8465848988148498,0.6924399784524627,0.6852624633432524,0.7413363892253491,,0.8287702612609777,0.7116640261849363,0.9663696000828452
Model:sklearn_SVM,0.998272591516669,0.9954247710690961,0.9923222963412797,,,0.9981752545724575,0.994739778761896,0.8819704802582996,0.8244895990577346,0.8753994411934045,,0.9966704573388423,0.95135448958444,0.9724176226312462,,0.994399064908677,0.9947467976506111,0.9951204430491171,0.9986989252055494,0.9953671383976603,0.9951204430491171,0.9735502537622562,0.9907177066608922,0.9970344955860424,0.9527092466185573,0.9476973793379908,,0.9455831508162159,0.9948924135784504,0.960030836486519,
Split_Ratio:0.2,0.9994554527472029,0.9997917994080631,0.9989363566398757,0.9980568603673807,0.9999268238277292,0.9990597627040638,0.9993529615116495,0.8562857882728776,0.7879896422476403,0.8507351484314936,0.9966704573388423,,0.9508534482235125,0.9798069039638996,0.9665621423909708,0.9994666132781174,0.9996222143419492,0.9986563429224968,0.9991092156872169,0.9989403358061196,0.9986563429224968,0.9871163952682624,0.9968673398573583,0.9998557936042288,0.9682198976560028,0.96556970406467,0.983059097073568,0.9620520657109288,,0.9635417213993951,0.7230661724140769
AugName:mixup,0.945706705242277,0.9520155986527,0.9421158044718166,0.9341956166247897,0.9524310199633997,0.9608610193117328,0.9397063585074711,0.9448069814668041,0.8863638423066613,0.9465534722838711,0.95135448958444,0.9508534482235125,,,0.8427150223338066,0.9419084206849274,0.9438159092357072,0.9336319216760951,0.9449912397005087,0.9356609146797977,0.9336319216760951,0.9035731661960639,0.9246905458221647,0.9464706757961641,0.8533499387425127,0.8536859443261232,0.8854723251542391,0.8409743907833435,0.9359068515678445,,0.8910481025176243
AugName:noAug,0.974369577463042,0.98173924764862,0.9773174343861556,0.9722073764068301,0.9804504298307597,0.9833542282780086,0.9738796458733087,0.8921794995069194,0.8186818316111037,0.8923280194396425,0.9724176226312462,0.9798069039638996,,,0.9069481927415526,0.9757409425763712,0.9768498484381689,0.9686708467646584,0.972852667984538,0.9700739944720908,0.9686708467646584,0.9555865743292432,0.9650767123097409,0.976589348348691,0.9188699274448117,0.9205739329502614,0.9409231409680772,0.9097126059543434,0.9708653240092843,,0.8118185043388483
Model:LogisticRegression,0.9684381116365085,0.9666744656706371,0.9741706137070437,,,0.9556588502438711,0.9750941007086926,0.7054474366892601,0.6265836756072976,0.6957578244933952,,0.9665621423909708,0.8427150223338066,0.9069481927415526,,0.9738780853506925,0.9726338388959834,0.9777205535929655,0.9674418899155971,0.9766155265638573,0.9777205535929655,0.98891653772244,0.9836571233411846,0.9696001440079126,0.997134909983278,0.9943823591073839,,0.9968784308338129,0.9771707485323247,0.9948095418722392,
FS_Method:biMaxInfgain,,0.9994334328253404,0.999778230783551,0.9995105783443006,0.9991925337637436,0.9971287585369852,0.9999551908042535,0.8389824463442106,0.7678274122990465,0.8331355844401789,0.994399064908677,0.9994666132781174,0.9419084206849274,0.9757409425763712,0.9738780853506925,,,,0.9983241628200228,0.9995902475724794,0.9994427633505176,0.9917055981730898,0.9988315324259366,0.9995707533822819,0.9758511092340273,0.9735280196827654,0.9883990574527038,0.9704215379728043,0.9997123895738572,0.969635052749091,0.7010282334900746
FS_Method:biMeanInfgain,,0.9996209572636491,0.999755944747127,0.9993270976436086,0.9993591499360047,0.9975232620913073,0.999908208204716,0.8418497446958679,0.7709642030896893,0.8361227256375152,0.9947467976506111,0.9996222143419492,0.9438159092357072,0.9768498484381689,0.9726338388959834,,,,0.9984379711978104,0.9994895427890964,0.999313521405508,0.9910879583086967,0.9985396407930008,0.9996705605932107,0.9746353812824498,0.97233613843754,0.9874869508593593,0.9690733512554639,0.999624454978472,0.9683303122184154,0.7051565608785819
FS_Method:noSelect,,0.9981628718677457,0.9986957722597973,0.9989699132744131,0.9983045719773231,0.9960384378351885,0.999710272151359,0.8348759736991818,0.766240970225794,0.8280872299056572,0.9951204430491171,0.9986563429224968,0.9336319216760951,0.9686708467646584,0.9777205535929655,,,,0.9988002710291815,0.9999822850086602,1.0,0.9910645063556976,0.9992673484173232,0.999269124929773,0.977516562837857,0.9742352002985026,0.9894571906943102,0.9723907260719804,0.9999183648512983,0.9760924683768537,0.689374451066841
