Rank,Metric,Value,LogDir,Split_Ratio,P_th,R_St
1,M_P,0.8160,log/pimaindians_diabetes_v3/5/biMaxInfgain/standard__noAug__noImbl/XGBmodel,0.1,0.5,5012
1,M_R,0.8104,log/pimaindians_diabetes_v3/5/biMaxInfgain/noAug__noImbl__standard/XGBmodel,0.1,0.5,5012
1,M_F1,0.8130,log/pimaindians_diabetes_v3/5/biMaxInfgain/noAug__noImbl__standard/XGBmodel,0.1,0.5,5012
1,m_P,0.8312,log/pimaindians_diabetes_v3/5/biMaxInfgain/noAug__noImbl__standard/XGBmodel,0.1,0.5,5012
1,m_R,0.8312,log/pimaindians_diabetes_v3/5/biMaxInfgain/noAug__noImbl__standard/XGBmodel,0.1,0.5,5012
1,m_F1,0.8312,log/pimaindians_diabetes_v3/5/biMaxInfgain/noAug__noImbl__standard/XGBmodel,0.1,0.5,5012
1,W_P,0.8300,log/pimaindians_diabetes_v3/5/biMaxInfgain/standard__noAug__noImbl/XGBmodel,0.1,0.5,5012
1,W_R,0.8312,log/pimaindians_diabetes_v3/5/biMaxInfgain/noAug__noImbl__standard/XGBmodel,0.1,0.5,5012
1,W_F1,0.8304,log/pimaindians_diabetes_v3/5/biMaxInfgain/standard__noAug__noImbl/XGBmodel,0.1,0.5,5012
1,Acc,0.8312,log/pimaindians_diabetes_v3/5/biMaxInfgain/noAug__noImbl__standard/XGBmodel,0.1,0.5,5012
2,M_P,0.8160,log/pimaindians_diabetes_v3/5/biMaxInfgain/noAug__noImbl__standard/XGBmodel,0.1,0.5,5012
2,M_R,0.8104,log/pimaindians_diabetes_v3/5/biMaxInfgain/standard__noAug__noImbl/XGBmodel,0.1,0.5,5012
2,M_F1,0.8130,log/pimaindians_diabetes_v3/5/biMaxInfgain/standard__noAug__noImbl/XGBmodel,0.1,0.5,5012
2,m_P,0.8312,log/pimaindians_diabetes_v3/5/biMaxInfgain/standard__noAug__noImbl/XGBmodel,0.1,0.5,5012
2,m_R,0.8312,log/pimaindians_diabetes_v3/5/biMaxInfgain/standard__noAug__noImbl/XGBmodel,0.1,0.5,5012
2,m_F1,0.8312,log/pimaindians_diabetes_v3/5/biMaxInfgain/standard__noAug__noImbl/XGBmodel,0.1,0.5,5012
2,W_P,0.8300,log/pimaindians_diabetes_v3/5/biMaxInfgain/noAug__noImbl__standard/XGBmodel,0.1,0.5,5012
