Part_Label,Model:DTmodel,Split_Ratio:0.1,Model:LogisticRegression,Split_Ratio:0.3,FS_Method:infgain,FeatureNum:5.0,Model:GradientBoosting,Model:random_forest,Split_Ratio:0.2,FeatureNum:4.0,Model:XGBmodel,Scaler:standard,Split_Ratio:0.25,AugName:noAug,ImblName:noImbl,Norm_Order:first,Norm_Order:last,Prob_Threshold:0.5,Model:sklearn_SVM,FeatureNum:7.0,Scaler:minmax,Split_Ratio:0.15,FS_Method:biMaxInfgain,FS_Method:noSelect,FeatureNum:6.0,FeatureNum:8.0
Model:DTmodel,,0.9703013984905486,,0.9450340881340576,0.9356555466005644,0.9760563078788749,,,0.9490651277060332,0.9249158904496693,,0.947051705209892,0.9327335207779305,0.9566431112221899,0.9566431112221899,0.9563537442357785,0.9569316604449675,0.9566431112221899,,0.9639591467241269,0.9648528666530475,0.9753484606543318,0.9720547864235267,0.9659793221196299,0.949600190014447,0.9659793221196299
Split_Ratio:0.1,0.9703013984905486,,0.9803632668363906,,0.9927261493119353,0.9977845226296154,0.9980050019728991,0.9938270837268457,,0.9885369361727435,0.9862226047470979,0.9956239358605307,,0.9982921037207927,0.9982921037207927,0.998246284631509,0.998336761424999,0.9982921037207927,0.9746453758446892,0.9995216085592672,0.9995648859382963,,0.9993300229948986,0.999518854674607,0.9970439503254336,0.999518854674607
Model:LogisticRegression,,0.9803632668363906,,0.9936503463992076,0.9962326539280207,0.9713788648952929,,,0.9917560837671324,0.9983222838805266,,0.9907478811593032,0.995130283762007,0.9887544501606553,0.9887544501606553,0.9889120912304762,0.9885954146645527,0.9887544501606553,,0.9849962082848427,0.9854082799437339,0.9758684917878114,0.977617483983459,0.983990911374315,0.9915585034769018,0.983990911374315
Split_Ratio:0.3,0.9450340881340576,,0.9936503463992076,,0.9994254188863095,0.9917610816645457,0.9965654943680993,0.9813667805040389,,0.9981642968106506,0.9964145956870853,0.9995398826374118,,0.999107439161522,0.999107439161522,0.9991449065040753,0.9990687092873513,0.999107439161522,0.9900767956575153,0.9976051547812704,0.9972980898987874,,0.9947168454834702,0.9972896341684723,0.9994748078888266,0.9972896341684723
FS_Method:infgain,0.9356555466005644,0.9927261493119353,0.9962326539280207,0.9994254188863095,,0.9875675822016879,0.9938753257140931,0.9753623270057762,0.9990454946942483,0.9994966259917087,0.9982216494285147,0.9986612132006959,0.9995848879878675,0.9977280931520459,0.9977280931520459,0.9978000652905479,0.9976548186702889,0.9977280931520459,0.9938234750441606,0.9956671316399158,0.995423137887013,0.9900761991113628,,,0.9989669924368012,0.9949979480820353
FeatureNum:5.0,0.9760563078788749,0.9977845226296154,0.9713788648952929,0.9917610816645457,0.9875675822016879,,0.9986121240306948,0.9971007696193015,0.9934853070703751,,0.9808600114240357,0.9935615666547517,0.9875888258966377,0.9958128451875404,0.9958128451875404,0.9957115623423389,0.9959130363646785,0.9958128451875404,0.9665787984952755,,0.9966747976852135,0.9993141273291045,0.999472132413717,0.9978716120358232,,
Model:GradientBoosting,,0.9980050019728991,,0.9965654943680993,0.9938753257140931,0.9986121240306948,,,0.9976996281570171,0.9901276704271211,,0.9980382403712543,0.9942888207809975,0.9987230802483553,0.9987230802483553,0.9986746526590454,0.9987703490641707,0.9987230802483553,,0.9989011273568144,0.9980244803031499,0.9983759705877298,0.9992430658162548,0.9989990527328592,0.9974394034272313,0.9989990527328592
Model:random_forest,,0.9938270837268457,,0.9813667805040389,0.9753623270057762,0.9971007696193015,,,0.9837702950187549,0.9683275230308322,,0.9830277124301873,0.9742514573293819,0.987895323165527,0.987895323165527,0.9877312827897485,0.9880583569879865,0.987895323165527,,0.991404331380537,0.9913679974107233,0.996551449972958,0.9954669391021576,0.9924763012432212,0.9837921611164465,0.9924763012432212
Split_Ratio:0.2,0.9490651277060332,,0.9917560837671324,,0.9990454946942483,0.9934853070703751,0.9976996281570171,0.9837702950187549,,0.9972207030687326,0.9959776509262789,0.9997634871580489,,0.9996836134261281,0.9996836134261281,0.9997077162625082,0.999658263427015,0.9996836134261281,0.9888359407938145,0.9986119181608107,0.9982238089213132,,0.9961979262465662,0.9982574616704479,0.999896480550951,0.9982574616704479
FeatureNum:4.0,0.9249158904496693,0.9885369361727435,0.9983222838805266,0.9981642968106506,0.9994966259917087,,0.9901276704271211,0.9683275230308322,0.9972207030687326,,0.998579678125439,0.9968347181589144,0.9991293779666185,0.995159634521169,0.995159634521169,0.9952635925764871,0.9950543387889529,0.995159634521169,0.9960794410624757,,0.9921209539524457,0.9852876867274207,0.9870247743780719,0.9914868413694446,,
Model:XGBmodel,,0.9862226047470979,,0.9964145956870853,0.9982216494285147,0.9808600114240357,,,0.9959776509262789,0.998579678125439,,0.9964238069204807,0.9988952858214376,0.9935507522122285,0.9935507522122285,0.9936564690069104,0.9934436975862684,0.9935507522122285,,0.9902972447330658,0.9893238972240236,0.9828449561294405,0.985254094766983,0.9891553077805632,0.9958614486616353,0.9891553077805632
Scaler:standard,0.947051705209892,0.9956239358605307,0.9907478811593032,0.9995398826374118,0.9986612132006959,0.9935615666547517,0.9980382403712543,0.9830277124301873,0.9997634871580489,0.9968347181589144,0.9964238069204807,,0.999016177931975,0.9993029648419189,0.9993029648419189,0.9993225416717114,0.9992821467558194,0.9993029648419189,0.9892416144576176,0.9979758093952721,,0.9944521735693413,0.9958827154568752,0.9976395085897722,0.9994702442474932,0.9976395085897722
Split_Ratio:0.25,0.9327335207779305,,0.995130283762007,,0.9995848879878675,0.9875888258966377,0.9942888207809975,0.9742514573293819,,0.9991293779666185,0.9988952858214376,0.999016177931975,,0.9972385529345158,0.9972385529345158,0.9973056053692816,0.997170204669038,0.9972385529345158,0.9945074075184925,0.9948024454381298,0.9940951086720581,,0.9910385722594299,0.9941641586198642,0.9984251194301155,0.9941641586198642
AugName:noAug,0.9566431112221899,0.9982921037207927,0.9887544501606553,0.999107439161522,0.9977280931520459,0.9958128451875404,0.9987230802483553,0.987895323165527,0.9996836134261281,0.995159634521169,0.9935507522122285,0.9993029648419189,0.9972385529345158,,1.0,0.999999391815315,0.9999993903517348,1.0,0.9848951385098709,0.9996102353701936,0.9993117549591439,0.9972584172418834,0.9980187664455209,0.9994209132168589,0.9996624990672919,0.9994209132168589
ImblName:noImbl,0.9566431112221899,0.9982921037207927,0.9887544501606553,0.999107439161522,0.9977280931520459,0.9958128451875404,0.9987230802483553,0.987895323165527,0.9996836134261281,0.995159634521169,0.9935507522122285,0.9993029648419189,0.9972385529345158,1.0,,0.999999391815315,0.9999993903517348,1.0,0.9848951385098709,0.9996102353701936,0.9993117549591439,0.9972584172418834,0.9980187664455209,0.9994209132168589,0.9996624990672919,0.9994209132168589
Norm_Order:first,0.9563537442357785,0.998246284631509,0.9889120912304762,0.9991449065040753,0.9978000652905479,0.9957115623423389,0.9986746526590454,0.9877312827897485,0.9997077162625082,0.9952635925764871,0.9936564690069104,0.9993225416717114,0.9973056053692816,0.999999391815315,0.999999391815315,,,0.9999993918153145,0.9850696809292923,0.9995858782099851,0.9992910902333305,0.9971816431909513,0.997949999532505,0.9993876797203409,0.9996888093675661,0.9993876797203409
Norm_Order:last,0.9569316604449675,0.998336761424999,0.9885954146645527,0.9990687092873513,0.9976548186702889,0.9959130363646785,0.9987703490641707,0.9880583569879865,0.999658263427015,0.9950543387889529,0.9934436975862684,0.9992821467558194,0.997170204669038,0.9999993903517348,0.9999993903517348,,,0.9999993903517357,0.9847191860428989,0.9996334037308527,0.9993312268089256,0.9973340683910902,0.9980863999015908,0.9994529688184368,0.9996349389755111,0.9994529688184368
Prob_Threshold:0.5,0.9566431112221899,0.9982921037207927,0.9887544501606553,0.999107439161522,0.9977280931520459,0.9958128451875404,0.9987230802483553,0.987895323165527,0.9996836134261281,0.995159634521169,0.9935507522122285,0.9993029648419189,0.9972385529345158,1.0,1.0,0.9999993918153145,0.9999993903517357,,0.9848951385098709,0.9996102353701936,0.9993117549591439,0.9972584172418834,0.9980187664455209,0.9994209132168589,0.9996624990672919,0.9994209132168589
Model:sklearn_SVM,,0.9746453758446892,,0.9900767956575153,0.9938234750441606,0.9665787984952755,,,0.9888359407938145,0.9960794410624757,,0.9892416144576176,0.9945074075184925,0.9848951385098709,0.9848951385098709,0.9850696809292923,0.9847191860428989,0.9848951385098709,,0.9801333757559199,0.9792161312939396,0.969642188791904,0.9726630390157033,0.9784921151246141,0.9887480657605601,0.9784921151246141
FeatureNum:7.0,0.9639591467241269,0.9995216085592672,0.9849962082848427,0.9976051547812704,0.9956671316399158,,0.9989011273568144,0.991404331380537,0.9986119181608107,,0.9902972447330658,0.9979758093952721,0.9948024454381298,0.9996102353701936,0.9996102353701936,0.9995858782099851,0.9996334037308527,0.9996102353701936,0.9801333757559199,,0.9998539920686038,0.9988230916047738,0.9991615423292128,0.999935581993055,,
Scaler:minmax,0.9648528666530475,0.9995648859382963,0.9854082799437339,0.9972980898987874,0.995423137887013,0.9966747976852135,0.9980244803031499,0.9913679974107233,0.9982238089213132,0.9921209539524457,0.9893238972240236,,0.9940951086720581,0.9993117549591439,0.9993117549591439,0.9992910902333305,0.9993312268089256,0.9993117549591439,0.9792161312939396,0.9998539920686038,,0.9986698295826106,0.9987631739073228,0.9998109806244353,0.9984731315520297,0.9998109806244353
Split_Ratio:0.15,0.9753484606543318,,0.9758684917878114,,0.9900761991113628,0.9993141273291045,0.9983759705877298,0.996551449972958,,0.9852876867274207,0.9828449561294405,0.9944521735693413,,0.9972584172418834,0.9972584172418834,0.9971816431909513,0.9973340683910902,0.9972584172418834,0.969642188791904,0.9988230916047738,0.9986698295826106,,0.9998348342596205,0.9991484354506327,0.9952358199744068,0.9991484354506327
FS_Method:biMaxInfgain,0.9720547864235267,0.9993300229948986,0.977617483983459,0.9947168454834702,,0.999472132413717,0.9992430658162548,0.9954669391021576,0.9961979262465662,0.9870247743780719,0.985254094766983,0.9958827154568752,0.9910385722594299,0.9980187664455209,0.9980187664455209,0.997949999532505,0.9980863999015908,0.9980187664455209,0.9726630390157033,0.9991615423292128,0.9987631739073228,0.9998348342596205,,,0.9962175077199156,0.9994141212127075
FS_Method:noSelect,0.9659793221196299,0.999518854674607,0.983990911374315,0.9972896341684723,,0.9978716120358232,0.9989990527328592,0.9924763012432212,0.9982574616704479,0.9914868413694446,0.9891553077805632,0.9976395085897722,0.9941641586198642,0.9994209132168589,0.9994209132168589,0.9993876797203409,0.9994529688184368,0.9994209132168589,0.9784921151246141,0.999935581993055,0.9998109806244353,0.9991484354506327,,,0.998314813806209,1.0
FeatureNum:6.0,0.949600190014447,0.9970439503254336,0.9915585034769018,0.9994748078888266,0.9989669924368012,,0.9974394034272313,0.9837921611164465,0.999896480550951,,0.9958614486616353,0.9994702442474932,0.9984251194301155,0.9996624990672919,0.9996624990672919,0.9996888093675661,0.9996349389755111,0.9996624990672919,0.9887480657605601,,0.9984731315520297,0.9952358199744068,0.9962175077199156,0.998314813806209,,
FeatureNum:8.0,0.9659793221196299,0.999518854674607,0.983990911374315,0.9972896341684723,0.9949979480820353,,0.9989990527328592,0.9924763012432212,0.9982574616704479,,0.9891553077805632,0.9976395085897722,0.9941641586198642,0.9994209132168589,0.9994209132168589,0.9993876797203409,0.9994529688184368,0.9994209132168589,0.9784921151246141,,0.9998109806244353,0.9991484354506327,0.9994141212127075,1.0,,
