Part_Label,FS_Method:noSelect,FeatureNum:8.0,FeatureNum:7.0,FS_Method:infgain,Norm_Order:first,Norm_Order:last,AugName:noAug,ImblName:noImbl,Prob_Threshold:0.5,Scaler:minmax
FS_Method:noSelect,,1.0,0.9999355819930542,,0.9993876797203415,0.9994529688184358,0.9994209132168589,0.9994209132168589,0.9994209132168589,0.9998109806244345
FeatureNum:8.0,1.0,,,0.994997948082035,0.9993876797203415,0.9994529688184358,0.9994209132168589,0.9994209132168589,0.9994209132168589,0.9998109806244345
FeatureNum:7.0,0.9999355819930542,,,0.995667131639916,0.9995858782099861,0.9996334037308523,0.999610235370194,0.999610235370194,0.999610235370194,0.9998539920686038
FS_Method:infgain,,0.994997948082035,0.995667131639916,,0.9978000652905479,0.9976548186702889,0.9977280931520459,0.9977280931520459,0.9977280931520459,0.995423137887013
Norm_Order:first,0.9993876797203415,0.9993876797203415,0.9995858782099861,0.9978000652905479,,,0.9999993918153145,0.9999993918153145,0.9999993918153145,0.9992910902333305
Norm_Order:last,0.9994529688184358,0.9994529688184358,0.9996334037308523,0.9976548186702889,,,0.9999993903517357,0.9999993903517357,0.9999993903517357,0.9993312268089256
AugName:noAug,0.9994209132168589,0.9994209132168589,0.999610235370194,0.9977280931520459,0.9999993918153145,0.9999993903517357,,1.0,1.0,0.9993117549591439
ImblName:noImbl,0.9994209132168589,0.9994209132168589,0.999610235370194,0.9977280931520459,0.9999993918153145,0.9999993903517357,1.0,,1.0,0.9993117549591439
Prob_Threshold:0.5,0.9994209132168589,0.9994209132168589,0.999610235370194,0.9977280931520459,0.9999993918153145,0.9999993903517357,1.0,1.0,,0.9993117549591439
Scaler:minmax,0.9998109806244345,0.9998109806244345,0.9998539920686038,0.995423137887013,0.9992910902333305,0.9993312268089256,0.9993117549591439,0.9993117549591439,0.9993117549591439,
