Part_Label,Model:LogisticRegression,Split_Ratio:0.2,FeatureNum:4.0,Scaler:standard,Model:XGBmodel,Model:sklearn_SVM,FS_Method:infgain,Model:GradientBoosting,Prob_Threshold:0.5,FeatureNum:5.0
Model:LogisticRegression,,0.9397367326245517,0.9429753596624647,0.8971515434160414,,,0.9547733519043459,,0.803033252667119,0.9486650053279079
Split_Ratio:0.2,0.9397367326245517,,0.9987346638894384,0.9940956783209105,0.9821674915808708,0.9829240105908938,0.9975741926486267,0.9954535714871472,0.9454977009036717,0.9956882385194755
FeatureNum:4.0,0.9429753596624647,0.9987346638894384,,0.9917375091151579,0.9838400073697604,0.9856748028421755,0.9991455852730595,0.9908295555684724,0.951018162581781,
Scaler:standard,0.8971515434160414,0.9940956783209105,0.9917375091151579,,0.9939393709282232,0.9924048888082949,0.9864766690503164,0.9841955989005453,0.9682731397037346,0.9851744557355875
Model:XGBmodel,,0.9821674915808708,0.9838400073697604,0.9939393709282232,,,0.9768132153217594,,0.9894885562273029,0.9632120358374168
Model:sklearn_SVM,,0.9829240105908938,0.9856748028421755,0.9924048888082949,,,0.979743758458074,,0.9888105482233092,0.9632269236600297
FS_Method:infgain,0.9547733519043459,0.9975741926486267,0.9991455852730595,0.9864766690503164,0.9768132153217594,0.979743758458074,,0.9913294853900909,0.9403684821093277,0.9912610069902809
Model:GradientBoosting,,0.9954535714871472,0.9908295555684724,0.9841955989005453,,,0.9913294853900909,,0.9124713719133445,0.9999128356493894
Prob_Threshold:0.5,0.803033252667119,0.9454977009036717,0.951018162581781,0.9682731397037346,0.9894885562273029,0.9888105482233092,0.9403684821093277,0.9124713719133445,,0.9143120281557625
FeatureNum:5.0,0.9486650053279079,0.9956882385194755,,0.9851744557355875,0.9632120358374168,0.9632269236600297,0.9912610069902809,0.9999128356493894,0.9143120281557625,
