Part_Label,FeatureNum:4.0,Split_Ratio:0.2,Model:LogisticRegression,Model:XGBmodel,Model:sklearn_SVM,Scaler:standard,FS_Method:infgain,FeatureNum:5.0,Model:GradientBoosting,Prob_Threshold:0.5,FS_Method:noSelect,FeatureNum:7.0,FeatureNum:8.0,Scaler:minmax,Split_Ratio:0.1,Model:random_forest,Prob_Threshold:0.35,AugName:noAug,FS_Method:biMaxInfgain,FeatureNum:6.0,ImblName:noImbl,Norm_Order:first,Norm_Order:last,Model:DTmodel
FeatureNum:4.0,,0.9987346638894397,0.9429753596624648,0.9838400073697604,0.9856748028421755,0.9917375091151579,0.9991455852730595,,0.9908295555684724,0.951018162581781,0.9914489565188722,,,0.9756243384390708,0.9923788236370075,0.8579341751477448,0.8671716053520037,0.9972260950871521,0.9936388245208237,,0.9972260950871521,0.9972083277917981,0.9972428793023708,0.9731270688104396
Split_Ratio:0.2,0.9987346638894397,,0.9397367326245509,0.9821674915808708,0.9829240105908938,0.9940956783209105,0.9975741926486267,0.9956882385194755,0.9954535714871472,0.9454977009036717,0.9920955006982008,0.9913714832541678,0.9920955006982008,0.9748526594286914,,0.8583601319492753,0.8750467271355722,0.9979795480679485,0.9967601259700238,0.9990915000118851,0.9979795480679485,0.9980087460444114,0.9979493393923659,0.9796814238020217
Model:LogisticRegression,0.9429753596624648,0.9397367326245509,,,,0.8971515434160414,0.9547733519043459,0.9486650053279079,,0.803033252667119,0.9745791146916121,0.9758318083105888,0.9745791146916121,0.9919396200090822,0.9737679585976731,,0.9636788280892717,0.9593459312118215,0.9569939823976186,0.9505749596877358,0.9593459312118215,0.9591807326848036,0.9595102687321224,
Model:XGBmodel,0.9838400073697604,0.9821674915808708,,,,0.993939370928219,0.9768132153217594,0.9632120358374168,,0.9894885562273029,0.9531536858247228,0.9533629075614442,0.9531536858247228,0.9212596141626127,0.955318668739896,,0.7686506439947504,0.9698581670217312,0.9641051058654809,0.9784617791109359,0.9698581670217312,0.9698945905880191,0.969820756631716,
Model:sklearn_SVM,0.9856748028421755,0.9829240105908938,,,,0.992404888808293,0.979743758458074,0.9632269236600297,,0.9888105482233092,0.9564285762860478,0.9572782712583914,0.9564285762860478,0.9268360097168669,0.958752540789749,,0.7737072544867759,0.9720231933420724,0.9652053177771208,0.980583966895143,0.9720231933420724,0.9720360309165524,0.972009380280882,
Scaler:standard,0.9917375091151579,0.9940956783209105,0.8971515434160414,0.993939370928219,0.992404888808293,,0.9864766690503164,0.9851744557355875,0.9841955989005453,0.9682731397037346,0.9727178927320264,0.9714755519913073,0.9727178927320264,,0.9737642517181019,0.7984976913168292,0.8235401500253463,0.9852335391569262,0.9841058149170163,0.9896239444753898,0.9852335391569262,0.9853185172436867,0.9851475311547133,0.9942849900097698
FS_Method:infgain,0.9991455852730595,0.9975741926486267,0.9547733519043459,0.9768132153217594,0.979743758458074,0.9864766690503164,,0.9912610069902809,0.9913294853900909,0.9403684821093277,,0.9955897106495932,0.9951448331568968,0.983121375075907,0.9959827186334645,0.8761824257811094,0.8821424761269949,0.9985674736170435,,0.999594531066549,0.9985674736170435,0.9985332958349344,0.9986006763713322,0.9648055589606747
FeatureNum:5.0,,0.9956882385194755,0.9486650053279079,0.9632120358374168,0.9632269236600297,0.9851744557355875,0.9912610069902809,,0.999912835649391,0.9143120281557673,0.9941588020454669,,,0.9804441558763789,0.9938102065078996,0.8836405684310948,0.9082703266942327,0.996527455863532,0.9993030261232434,,0.996527455863532,0.9966025274029071,0.9964513488273528,0.9731965579029699
Model:GradientBoosting,0.9908295555684724,0.9954535714871472,,,,0.9841955989005453,0.9913294853900909,0.999912835649391,,0.9124713719133445,0.9946687075966443,0.992730121847343,0.9946687075966443,0.9815975143246953,0.9942572201777932,,0.9106434166242784,0.9966506250917495,0.9993810425691706,0.9940348499386346,0.9966506250917495,0.9967182921101618,0.9965819266899353,
Prob_Threshold:0.5,0.951018162581781,0.9454977009036717,0.803033252667119,0.9894885562273029,0.9888105482233092,0.9682731397037346,0.9403684821093277,0.9143120281557673,0.9124713719133445,,0.9031873526992911,0.904603493232607,0.9031873526992911,0.8630824725060714,0.9066578307515057,0.6623269453282421,,0.9268190584450906,0.9163458824439797,0.9410867520145191,0.9268190584450906,0.9268247191986645,0.9268124713342791,0.9618062800807416
FS_Method:noSelect,0.9914489565188722,0.9920955006982008,0.9745791146916121,0.9531536858247228,0.9564285762860478,0.9727178927320264,,0.9941588020454669,0.9946687075966443,0.9031873526992911,,0.9997794190151029,1.0,0.9950142249778633,0.9999416354053409,0.9156956276912295,0.9241262438635025,0.9980387980754347,,0.9950595786158872,0.9980387980754347,0.9980154750556813,0.9980611403839904,0.9493700905195425
FeatureNum:7.0,,0.9913714832541678,0.9758318083105888,0.9533629075614442,0.9572782712583914,0.9714755519913073,0.9955897106495932,,0.992730121847343,0.904603493232607,0.9997794190151029,,,0.9954756239575788,0.9998971085394949,0.9161564508176087,0.9217608638871018,0.9976705682994056,0.9960762939961727,,0.9976705682994056,0.9976337811326073,0.997706382824521,0.9465777687872083
FeatureNum:8.0,,0.9920955006982008,0.9745791146916121,0.9531536858247228,0.9564285762860478,0.9727178927320264,0.9951448331568968,,0.9946687075966443,0.9031873526992911,1.0,,,0.9950142249778633,0.9999416354053409,0.9156956276912295,0.9241262438635025,0.9980387980754347,0.997300814572147,,0.9980387980754347,0.9980154750556813,0.9980611403839904,0.9493700905195425
Scaler:minmax,0.9756243384390708,0.9748526594286914,0.9919396200090822,0.9212596141626127,0.9268360097168669,,0.983121375075907,0.9804441558763789,0.9815975143246953,0.8630824725060714,0.9950142249778633,0.9954756239575788,0.9950142249778633,,0.9946105883300497,0.9495658827766594,0.948803822617218,0.9870247382128521,0.9857818224815059,0.9813167816905239,0.9870247382128521,0.9869440938975127,0.9871044455802364,0.9134613717791343
Split_Ratio:0.1,0.9923788236370075,,0.9737679585976731,0.955318668739896,0.958752540789749,0.9737642517181019,0.9959827186334645,0.9938102065078996,0.9942572201777932,0.9066578307515057,0.9999416354053409,0.9998971085394949,0.9999416354053409,0.9946105883300497,,0.9132033865241939,0.9207065714303942,0.9983410768121835,0.9971555740429335,0.9957497169377645,0.9983410768121835,0.998313670607149,0.9983675043409136,0.9501297916778804
Model:random_forest,0.8579341751477448,0.8583601319492753,,,,0.7984976913168292,0.8761824257811094,0.8836405684310948,,0.6623269453282421,0.9156956276912295,0.9161564508176087,0.9156956276912295,0.9495658827766594,0.9132033865241939,,0.9872247560685633,0.8887581216144818,0.8916704835617916,0.8720140410261671,0.8887581216144818,0.8885993204096502,0.8889161284587179,
