Part_Label,FeatureNum:5.0,Scaler:standard,FS_Method:infgain,FS_Method:noSelect,FeatureNum:8.0,FeatureNum:7.0,Norm_Order:first,FeatureNum:4.0,AugName:noAug,Prob_Threshold:0.5
FeatureNum:5.0,,0.9998740496582745,0.9930142025238583,0.9978912217572097,,,0.9986542611390743,,0.9986944022853451,0.9986944022853451
Scaler:standard,0.9998740496582745,,0.9917227559241656,0.99787435306717,0.99787435306717,0.9981185305996727,0.9981954067101808,0.9941370752019562,0.9982432189441769,0.9982432189441769
FS_Method:infgain,0.9930142025238583,0.9917227559241656,,,0.9963595719447098,0.9963921385763136,0.9975942292539927,0.9996675977841243,0.9975388179592881,0.9975388179592881
FS_Method:noSelect,0.9978912217572097,0.99787435306717,,,1.0,0.9999515367832071,0.9994456571780922,0.9970992002374858,0.9994465268981815,0.9994465268981815
FeatureNum:8.0,,0.99787435306717,0.9963595719447098,1.0,,,0.9994456571780922,,0.9994465268981815,0.9994465268981815
FeatureNum:7.0,,0.9981185305996727,0.9963921385763136,0.9999515367832071,,,0.9995815666899133,,0.9995858003207205,0.9995858003207205
Norm_Order:first,0.9986542611390743,0.9981954067101808,0.9975942292539927,0.9994456571780922,0.9994456571780922,0.9995815666899133,,0.9986449812648776,0.9999996558776442,0.9999996558776442
FeatureNum:4.0,,0.9941370752019562,0.9996675977841243,0.9970992002374858,,,0.9986449812648776,,0.9986082526328455,0.9986082526328455
AugName:noAug,0.9986944022853451,0.9982432189441769,0.9975388179592881,0.9994465268981815,0.9994465268981815,0.9995858003207205,0.9999996558776442,0.9986082526328455,,1.0
Prob_Threshold:0.5,0.9986944022853451,0.9982432189441769,0.9975388179592881,0.9994465268981815,0.9994465268981815,0.9995858003207205,0.9999996558776442,0.9986082526328455,1.0,
