Part_Label,FS_Method:noSelect,FeatureNum:8.0,Model:GradientBoosting,FS_Method:infgain,FeatureNum:4.0,Scaler:minmax,AugName:noAug,FeatureNum:6.0,ImblName:noImbl,Norm_Order:first,Norm_Order:last,Prob_Threshold:0.5,Split_Ratio:0.2,FS_Method:biMaxInfgain,FeatureNum:5.0,Scaler:standard,FeatureNum:7.0,Model:XGBmodel,Model:random_forest,Model:sklearn_SVM,Model:LogisticRegression,Model:DTmodel
FS_Method:noSelect,,1.0,0.993666055443009,,0.9970992002374858,0.9977932346230253,0.9994465268981815,0.9992169977529857,0.9994465268981815,0.9994456571780922,0.9994467087267063,0.9994465268981815,0.9994465268981815,,0.9978912217572089,0.9978743530671693,0.9999515367832071,0.9980353189215757,0.9917650676530869,0.9581483171192304,0.9787604224143336,0.9318750107218923
FeatureNum:8.0,1.0,,0.993666055443009,0.9963595719447097,,0.9977932346230253,0.9994465268981815,,0.9994465268981815,0.9994456571780922,0.9994467087267063,0.9994465268981815,0.9994465268981815,0.99699713404041,,0.9978743530671693,,0.9980353189215757,0.9917650676530869,0.9581483171192304,0.9787604224143336,0.9318750107218923
Model:GradientBoosting,0.993666055443009,0.993666055443009,,0.9855613209411418,0.9891664547266171,0.9877293495486834,0.9946634482934804,0.9941465832559522,0.9946634482934804,0.994579543028875,0.9947466831851978,0.9946634482934804,0.9946634482934804,0.9992764506074429,0.9985761236868743,0.9988502748687642,0.9941890353468799,,,,,
FS_Method:infgain,,0.9963595719447097,0.9855613209411418,,0.9996675977841243,0.9997938703204613,0.9975388179592881,0.9979618352949879,0.9975388179592881,0.9975942292539927,0.9974827104440929,0.9975388179592881,0.9975388179592881,,0.9930142025238572,0.9917227559241647,0.9963921385763136,0.9972790992832343,0.9805155396368738,0.978174905447544,0.9923621936757147,0.8981530643514453
FeatureNum:4.0,0.9970992002374858,,0.9891664547266171,0.9996675977841243,,0.9996233124067815,0.9986082526328455,,0.9986082526328455,0.9986449812648766,0.9985708302448724,0.9986082526328455,0.9986082526328455,0.9920973729710236,,0.9941370752019547,,0.9987819524516578,0.9844008859758024,0.9737249502322485,0.9899388482892069,0.9045718101208384
Scaler:minmax,0.9977932346230253,0.9977932346230253,0.9877293495486834,0.9997938703204613,0.9996233124067815,,0.9985147455000125,0.9988166732946661,0.9985147455000125,0.9985580513220381,0.9984707448595933,0.9985147455000125,0.9985147455000125,0.9915646149053856,0.9945130295452642,,0.9978356125665533,0.9978843907447088,0.9834250753173441,0.9744542843735186,0.9898550312111476,0.9063482470747867
AugName:noAug,0.9994465268981815,0.9994465268981815,0.9946634482934804,0.9975388179592881,0.9986082526328455,0.9985147455000125,,0.9999582725525759,1.0,0.9999996558776442,0.9999996557597218,1.0,1.0,0.99713268440177,0.9986944022853443,0.9982432189441763,0.9995858003207214,0.9995455628736213,0.9918082351323058,0.9611988938999132,0.9814697338262224,0.9257901129335177
FeatureNum:6.0,0.9992169977529857,,0.9941465832559522,0.9979618352949879,,0.9988166732946661,0.9999582725525759,,0.9999582725525761,0.9999618070322203,0.9999540490745302,0.9999582725525761,0.9999582725525761,0.9966245731075168,,0.9978279074602611,,0.9996032986484401,0.9910121182597779,0.9629913781227816,0.9826392429614795,0.9230939601235552
ImblName:noImbl,0.9994465268981815,0.9994465268981815,0.9946634482934804,0.9975388179592881,0.9986082526328455,0.9985147455000125,1.0,0.9999582725525761,,0.9999996558776442,0.9999996557597218,1.0,1.0,0.99713268440177,0.9986944022853443,0.9982432189441763,0.9995858003207214,0.9995455628736213,0.9918082351323058,0.9611988938999132,0.9814697338262224,0.9257901129335177
Norm_Order:first,0.9994456571780922,0.9994456571780922,0.994579543028875,0.9975942292539927,0.9986449812648766,0.9985580513220381,0.9999996558776442,0.9999618070322203,0.9999996558776442,,,0.9999996558776442,0.9999996558776442,0.9970708595344343,0.9986542611390733,0.9981954067101799,0.9995815666899142,0.9995422953969872,0.9917034202088174,0.9614176278858733,0.9816198760627911,0.9255199038080175
Norm_Order:last,0.9994467087267063,0.9994467087267063,0.9947466831851978,0.9974827104440929,0.9985708302448724,0.9984707448595933,0.9999996557597218,0.9999540490745302,0.9999996557597218,,,0.9999996557597219,0.9999996557597219,0.9971938334134614,0.9987338627859301,0.9982903521573255,0.999589346540401,0.9995481428013039,0.9919123852308026,0.9609794607297117,0.981318890201875,0.9260597310181635
Prob_Threshold:0.5,0.9994465268981815,0.9994465268981815,0.9946634482934804,0.9975388179592881,0.9986082526328455,0.9985147455000125,1.0,0.9999582725525761,1.0,0.9999996558776442,0.9999996557597219,,1.0,0.99713268440177,0.9986944022853443,0.9982432189441763,0.9995858003207214,0.9995455628736213,0.9918082351323058,0.9611988938999132,0.9814697338262224,0.9257901129335177
Split_Ratio:0.2,0.9994465268981815,0.9994465268981815,0.9946634482934804,0.9975388179592881,0.9986082526328455,0.9985147455000125,1.0,0.9999582725525761,1.0,0.9999996558776442,0.9999996557597219,1.0,,0.99713268440177,0.9986944022853443,0.9982432189441763,0.9995858003207214,0.9995455628736213,0.9918082351323058,0.9611988938999132,0.9814697338262224,0.9257901129335177
FS_Method:biMaxInfgain,,0.99699713404041,0.9992764506074429,,0.9920973729710236,0.9915646149053856,0.99713268440177,0.9966245731075168,0.99713268440177,0.9970708595344343,0.9971938334134614,0.99713268440177,0.99713268440177,,0.9994542657627383,0.9998256292502788,0.9973004700824725,0.9967048955034111,0.9986197463926203,0.9376984641435214,0.9644907196210529,0.9495091833476877
FeatureNum:5.0,0.9978912217572089,,0.9985761236868743,0.9930142025238572,,0.9945130295452642,0.9986944022853443,,0.9986944022853443,0.9986542611390733,0.9987338627859301,0.9986944022853443,0.9986944022853443,0.9994542657627383,,0.9998740496582745,,0.9987766617016877,0.9967100666409683,0.9473033807942028,0.9719529017002521,0.9387551797645142
