Part_Label,FeatureNum:5.0,Split_Ratio:0.1,Scaler:standard,FeatureNum:8.0,FS_Method:noSelect,Model:GradientBoosting,Norm_Order:first,ImblName:noImbl,AugName:noAug,Norm_Order:last
FeatureNum:5.0,,0.9911135186289632,0.9988436662146761,,0.997042515246917,0.994477466992933,0.9998253943280897,0.9998263325755788,0.9998263325755788,0.9998272537725647
Split_Ratio:0.1,0.9911135186289632,,0.9838983411473808,0.9823303863437807,0.9823303863437807,0.9719049838733319,0.9910590913893293,0.9910506095596928,0.9910506095596928,0.9910421155395264
Scaler:standard,0.9988436662146761,0.9838983411473808,,0.9980458279953606,0.9980458279953606,0.998186972167557,0.9987429810727692,0.9987481963243949,0.9987481963243949,0.998753392402898
FeatureNum:8.0,,0.9823303863437807,0.9980458279953606,,1.0,0.9951776003475497,0.9979658909893188,0.9979654920526085,0.9979654920526085,0.9979650767654723
FS_Method:noSelect,0.997042515246917,0.9823303863437807,0.9980458279953606,1.0,,0.9951776003475497,0.9979658909893188,0.9979654920526085,0.9979654920526085,0.9979650767654723
Model:GradientBoosting,0.994477466992933,0.9719049838733319,0.998186972167557,0.9951776003475497,0.9951776003475497,,0.9940120672661396,0.9940223047104879,0.9940223047104879,0.9940325205466453
Norm_Order:first,0.9998253943280897,0.9910590913893293,0.9987429810727692,0.9979658909893188,0.9979658909893188,0.9940120672661396,,0.9999999917018623,0.9999999917018623,
ImblName:noImbl,0.9998263325755788,0.9910506095596928,0.9987481963243949,0.9979654920526085,0.9979654920526085,0.9940223047104879,0.9999999917018623,,1.0,0.9999999917101643
AugName:noAug,0.9998263325755788,0.9910506095596928,0.9987481963243949,0.9979654920526085,0.9979654920526085,0.9940223047104879,0.9999999917018623,1.0,,0.9999999917101643
Norm_Order:last,0.9998272537725647,0.9910421155395264,0.998753392402898,0.9979650767654723,0.9979650767654723,0.9940325205466453,,0.9999999917101643,0.9999999917101643,
