Part_Label,Split_Ratio:0.1,Model:sklearn_SVM,Model:GradientBoosting,Model:LogisticRegression,FS_Method:biMaxInfgain,Model:XGBmodel,FeatureNum:5.0,Model:random_forest,Scaler:standard,FeatureNum:6.0
Split_Ratio:0.1,,0.9815498388032289,0.9719049838733319,0.9981748395874367,0.9828447985830717,0.9625564004205739,0.9911135186289615,0.9233906025754383,0.9838983411473808,0.9927362066260357
Model:sklearn_SVM,0.9815498388032289,,,,0.9309369307111484,,0.9479819409833307,,0.9320660170639281,0.9517275570248336
Model:GradientBoosting,0.9719049838733319,,,,0.9978389736581625,,0.9944774669929322,,0.9981869721675577,0.9931112528101966
Model:LogisticRegression,0.9981748395874367,,,,0.9807169676097257,,0.9880963277559791,,0.9804600036466067,0.9897229415635189
FS_Method:biMaxInfgain,0.9828447985830717,0.9309369307111484,0.9978389736581625,0.9807169676097257,,0.995557341577123,0.9984010182718938,0.9763822396149165,0.9997320870403841,0.9976897855022047
Model:XGBmodel,0.9625564004205739,,,,0.995557341577123,,0.989884456621881,,0.9954989685086792,0.9881641514058542
FeatureNum:5.0,0.9911135186289615,0.9479819409833307,0.9944774669929322,0.9880963277559791,0.9984010182718938,0.989884456621881,,0.9626863202656964,0.9988436662146761,
Model:random_forest,0.9233906025754383,,,,0.9763822396149165,,0.9626863202656964,,0.9729498070054439,0.9597815497774922
Scaler:standard,0.9838983411473808,0.9320660170639281,0.9981869721675577,0.9804600036466067,0.9997320870403841,0.9954989685086792,0.9988436662146761,0.9729498070054439,,0.9982496883329368
FeatureNum:6.0,0.9927362066260357,0.9517275570248336,0.9931112528101966,0.9897229415635189,0.9976897855022047,0.9881641514058542,,0.9597815497774922,0.9982496883329368,
