Part_Label,Model:sklearn_SVM,Split_Ratio:0.1,Model:GradientBoosting,FS_Method:noSelect,FeatureNum:8.0,Split_Ratio:0.2,FS_Method:biMaxInfgain,FeatureNum:5.0,FeatureNum:6.0,Model:XGBmodel,Model:random_forest,Scaler:standard,Model:LogisticRegression,FS_Method:infgain,FeatureNum:4.0,Prob_Threshold:0.35,Scaler:minmax,AugName:noAug,FeatureNum:7.0,ImblName:noImbl,Norm_Order:first,Norm_Order:last,Prob_Threshold:0.5,Model:DTmodel
Model:sklearn_SVM,,0.9815498388032291,,0.9329059583152203,0.9329059583152203,0.8973260996108374,0.9309369307111484,0.9479819409833307,0.9517275570248336,,,0.9320660170639281,,0.964578925416306,0.9640049323794004,0.7954058647536694,0.9615772869311096,0.9483818299631894,0.9324048192344718,0.9483818299631894,0.9484076766542379,0.9483559804797622,0.9958724920789707,
Split_Ratio:0.1,0.9815498388032291,,0.9719049838733319,0.9823303863437807,0.9823303863437807,,0.9828447985830717,0.9911135186289615,0.9927362066260357,0.9625564004205739,0.9233906025754383,0.9838983411473808,0.9981748395874367,0.9971328786107154,0.9967192632512721,0.8935193444344364,0.9955179721045726,0.9910506095596928,0.9834034962619521,0.9910506095596928,0.9910590913893293,0.9910421155395264,0.9927604612183875,0.9752770595204296
Model:GradientBoosting,,0.9719049838733319,,0.9951776003475488,0.9951776003475488,0.9982734991258143,0.9978389736581625,0.9944774669929322,0.9931112528101966,,,0.9981869721675577,,0.98686639073615,0.9868960383412486,0.971256192532167,0.9878243424154806,0.9940223047104879,0.9973716089168041,0.9940223047104879,0.9940120672661396,0.9940325205466453,0.9380326732840273,
FS_Method:noSelect,0.9329059583152203,0.9823303863437807,0.9951776003475488,,1.0,0.995561674945237,,0.9970425152469166,0.9963246094595548,0.9931179479936598,0.9786159840107403,0.998045827995362,0.9826351819863813,,0.9941396213677973,0.9602152863781139,0.9956052097125492,0.9979654920526085,0.9994284356188733,0.9979654920526085,0.9979658909893188,0.9979650767654723,0.9532041598244657,0.9891176063763732
FeatureNum:8.0,0.9329059583152203,0.9823303863437807,0.9951776003475488,1.0,,0.995561674945237,0.999187455907486,,,0.9931179479936598,0.9786159840107403,0.998045827995362,0.9826351819863813,0.9929367730175709,,0.9602152863781139,0.9956052097125492,0.9979654920526085,,0.9979654920526085,0.9979658909893188,0.9979650767654723,0.9532041598244657,0.9891176063763732
Split_Ratio:0.2,0.8973260996108374,,0.9982734991258143,0.995561674945237,0.995561674945237,,0.9964391414396541,0.9903587461502679,0.988560473248365,0.9992108462566446,0.98947817830424,0.995532608502957,0.9616501937641809,0.9810843700761476,0.9820858194135039,0.9806810445168193,0.9840153192115684,0.9907694788386714,0.9961552163145656,0.9907694788386714,0.9907608488527886,0.9907780880747874,0.9252736891597518,0.9913711751480448
FS_Method:biMaxInfgain,0.9309369307111484,0.9828447985830717,0.9978389736581625,,0.999187455907486,0.9964391414396541,,0.9984010182718938,0.9976897855022047,0.995557341577123,0.9763822396149165,0.9997320870403841,0.980716967609729,,0.9944533920140634,0.9608960865870112,0.9953764983724969,0.9986664046994124,0.9999735746109644,0.9986664046994124,0.9986628883021533,0.9986699027751256,0.9538687135331968,0.9941634956900057
FeatureNum:5.0,0.9479819409833307,0.9911135186289615,0.9944774669929322,0.9970425152469166,,0.9903587461502679,0.9984010182718938,,,0.9898844566218806,0.9626863202656964,0.9988436662146761,0.9880963277559821,0.9983310022687168,,0.944237711807603,0.9984629475785384,0.9998263325755788,,0.9998263325755788,0.9998253943280897,0.9998272537725647,0.9686416711346414,0.9939216485374619
FeatureNum:6.0,0.9517275570248336,0.9927362066260357,0.9931112528101966,0.9963246094595548,,0.988560473248365,0.9976897855022047,,,0.9881641514058526,0.9597815497774892,0.998249688332937,0.9897229415635201,0.9989841530838022,,0.9402457653622169,0.9988762995614262,0.9997510213132954,,0.9997510213132954,0.999750306414234,0.9997517192748812,0.971583054024993,0.9929471470160541
Model:XGBmodel,,0.9625564004205739,,0.9931179479936598,0.9931179479936598,0.9992108462566446,0.995557341577123,0.9898844566218806,0.9881641514058526,,,0.9954989685086792,,0.9802562456898946,0.9807030263633185,0.9800685080287405,0.9820467323659021,0.9897381627691569,0.9950166061178042,0.9897381627691569,0.9897252316408627,0.9897510710122072,0.9239966631410506,
