Metric,FeatureNum:5.0,FS_Method:infgain,FeatureNum:6.0,Scaler:standard,Norm_Order:first,AugName:noAug,ImblName:noImbl,Prob_Threshold:0.5,Split_Ratio:0.2,Norm_Order:last
Accuracy,0.7612283549783551,0.7556818181818182,0.754193722943723,0.7534872534872534,0.756012506012506,0.7558621933621934,0.7558621933621934,0.7558621933621934,0.7558621933621934,0.7557118807118807
Macro_F1,0.7283362731140328,0.7191014792095913,0.719261649246474,0.7231448672714568,0.7217924173815432,0.7216124925175651,0.7216124925175651,0.7216124925175651,0.7216124925175651,0.7214325676535872
Macro_Precision,0.7441685768065528,0.7412628799736175,0.7366129970388146,0.7349861582921174,0.7396587619847255,0.7394603166825661,0.7394603166825661,0.7394603166825661,0.7394603166825661,0.7392618713804068
Macro_Recall,0.7216435185185185,0.7116493055555555,0.7132098765432099,0.7188477366255144,0.7154681069958848,0.7153129286694102,0.7153129286694102,0.7153129286694102,0.7153129286694102,0.7151577503429356
Weighted_F1,0.7563625354452439,0.749045870537873,0.7485409486500245,0.7502236382467843,0.7506167069209044,0.7504575030624523,0.7504575030624523,0.7504575030624523,0.7504575030624523,0.7502982992040002
Weighted_Precision,0.7590138074068095,0.7543793102020756,0.7521160517443213,0.7531452730853102,0.7546468236261125,0.7544832389190813,0.7544832389190813,0.7544832389190813,0.7544832389190813,0.7543196542120499
