Detail,MeanImportance,StdImportance,Rank
AugName_gaussian_noise,0.3129804209111531,0.05811508527390681,1
Model_DTmodel,0.1481538896934522,0.0792647670094472,2
Prob_Threshold,0.0752785351472129,0.03898116735544221,3
FeatureNum,0.05889042064779407,0.010865991965054425,4
ImblName_TomekLinks,0.04393542938548766,0.026423743203068558,5
Model_sklearn_SVM,0.04309687457344206,0.014023853934468991,6
ImblName_noImbl,0.036583997975731634,0.018415191963684564,7
Model_LogisticRegression,0.035873952846125066,0.01545590552113965,8
Split_Ratio,0.03039702753134833,0.006534053143660168,9
Model_random_forest,0.021088023047979836,0.008228339300137775,10
