Part_Label,FeatureNum:7.0,Scaler:standard,Prob_Threshold:0.5,FS_Method:biMaxInfgain,FeatureNum:4.0,Norm_Order:first,Norm_Order:last,AugName:noAug,ImblName:noImbl,Split_Ratio:0.2
FeatureNum:7.0,,0.9668365506776768,0.88016091595592,0.9902344453296902,,0.9883954431079762,0.9885019487925832,0.9884489992898169,0.9884489992898169,0.9884489992898169
Scaler:standard,0.9668365506776768,,0.9526005911597288,0.9924459982403512,0.9958756984084295,0.9942342540033624,0.9941277403765408,0.9941812787067618,0.9941812787067618,0.9941812787067618
Prob_Threshold:0.5,0.88016091595592,0.9526005911597288,,0.9200985106792822,0.9715800825216242,0.9336665778379979,0.9337684130051555,0.9337177821003773,0.9337177821003773,0.9337177821003773
FS_Method:biMaxInfgain,0.9902344453296902,0.9924459982403512,0.9200985106792822,,0.986646364553731,0.9992052397171403,0.999167446428311,0.9991866336516203,0.9991866336516203,0.9991866336516203
FeatureNum:4.0,,0.9958756984084295,0.9715800825216242,0.986646364553731,,0.9917400559959179,0.9917534107693267,0.9917470274127769,0.9917470274127769,0.9917470274127769
Norm_Order:first,0.9883954431079762,0.9942342540033624,0.9336665778379979,0.9992052397171403,0.9917400559959179,,,0.9999997048791606,0.9999997048791606,0.9999997048791606
Norm_Order:last,0.9885019487925832,0.9941277403765408,0.9337684130051555,0.999167446428311,0.9917534107693267,,,0.999999705139655,0.999999705139655,0.999999705139655
AugName:noAug,0.9884489992898169,0.9941812787067618,0.9337177821003773,0.9991866336516203,0.9917470274127769,0.9999997048791606,0.999999705139655,,1.0,1.0
ImblName:noImbl,0.9884489992898169,0.9941812787067618,0.9337177821003773,0.9991866336516203,0.9917470274127769,0.9999997048791606,0.999999705139655,1.0,,1.0
Split_Ratio:0.2,0.9884489992898169,0.9941812787067618,0.9337177821003773,0.9991866336516203,0.9917470274127769,0.9999997048791606,0.999999705139655,1.0,1.0,
