Detail,MeanImportance,StdImportance,Rank
AugName_gaussian_noise,0.2919689621597035,0.07350387067787788,1
Model_DTmodel,0.13295800130696495,0.06940790257018539,2
Prob_Threshold,0.07104165847793098,0.026646226745574035,3
FeatureNum,0.07044775841843774,0.011768439745011208,4
Model_sklearn_SVM,0.038201392767229024,0.01477337592366998,5
Split_Ratio,0.03666940476895591,0.007381220444445693,6
Model_random_forest,0.0357373771970304,0.014476568301099443,7
Model_LogisticRegression,0.03326534585876446,0.015039987703877801,8
ImblName_ADASYN,0.03090942785049799,0.01511180574415058,9
ImblName_noImbl,0.026444407094731715,0.005723561780167935,10
