Metric,Split_Ratio:0.1,ImblName:ADASYN,Model:XGBmodel,Model:random_forest,Model:GradientBoosting,ImblName:SMOTE,Scaler:standard,Prob_Threshold:0.35,FeatureNum:7.0,FS_Method:biMeanInfgain
Accuracy,0.7003857253857254,0.6578144078144078,0.6956772394272395,0.6805028305028306,0.6966908091908092,0.6757391913641915,0.6893863081363082,0.6654137529137529,0.6875511063011063,0.6851224296536796
Macro_F1,0.6839605132907715,0.6467018152238867,0.6783414783845817,0.6639407881729498,0.6798442536117565,0.6646899744773839,0.6686076460239093,0.6536762995052738,0.67036649223842,0.6681537891473273
Macro_Precision,0.711591917795945,0.6939841230306236,0.7093792090334086,0.6995318918503386,0.7120151317645728,0.69944148398722,0.69779807445182,0.6976604610253782,0.6996329579482453,0.6980050651433797
Macro_Recall,0.7145045504906615,0.6956093205919595,0.7115461182336182,0.7014085351377017,0.714323777302944,0.7044980116334283,0.6967488129154796,0.6989591840772396,0.7014341992455418,0.7000398341049382
Weighted_F1,0.697758358124053,0.6514389023106292,0.6910493534650233,0.6753435825716627,0.6919461117403506,0.6733583148891034,0.6848427564674953,0.6605646610499335,0.6844983257205193,0.681981379430768
Weighted_Precision,0.753389190541717,0.7450917228227222,0.7513600122663623,0.7442780311585377,0.7545594848263735,0.7474936101961293,0.7379110678774374,0.7480497526179023,0.7422520790018591,0.7411836294958878
