,biMaxInfgain,infgain,noSelect
biMaxInfgain,0.0,0.029843983073972267,0.03269642579970032
infgain,0.029843983073972267,0.0,0.04083677916085964
noSelect,0.03269642579970032,0.04083677916085964,0.0
