Metric,Split_Ratio:0.1,Split_Ratio:0.15,FS_Method:noSelect,FeatureNum:8.0,Scaler:standard,FeatureNum:5.0,FeatureNum:7.0,FS_Method:infgain,Norm_Order:last,AugName:noAug
Accuracy,0.7455507455507455,0.7366299489144317,0.7395015360397903,0.7395015360397903,0.7430180393033601,0.7440638262499792,0.738101730046773,0.7425381317925769,0.7405568611447444,0.7405600416106882
Macro_F1,0.7131110565091542,0.7029235316335749,0.7052610997864718,0.7052610997864718,0.7105715810217522,0.7111168715738445,0.7036063319685537,0.7064272961336396,0.7058262445097596,0.7058193502866987
Macro_Precision,0.724542434749036,0.7121399242684249,0.7178756525467278,0.7178756525467278,0.7204200865051887,0.7219255786268074,0.7158503025351376,0.721887252279437,0.718787317518992,0.7187907503385889
Macro_Recall,0.7096999314128943,0.7001035575048733,0.7011699544835924,0.7011699544835924,0.7067286345329163,0.7071648276513254,0.6997156830842,0.7012850643899843,0.7015573896245675,0.7015474333444323
Weighted_F1,0.7415293532505873,0.7336225930507858,0.7352040734210664,0.7352040734210664,0.7395552312275642,0.7402691792658361,0.733723339162889,0.7371394815989315,0.7359697409599394,0.7359673812914747
Weighted_Precision,0.7441923241919489,0.7358747540624485,0.7379478796169994,0.7379478796169994,0.7410667755938327,0.7421330477797393,0.7362676854169177,0.7402035372340285,0.7385414004342763,0.7385396039213414
