Cluster,Part
9,AugName:gaussian_noise
4,AugName:mixup
4,AugName:noAug
6,FS_Method:biMaxInfgain
6,FS_Method:biMeanInfgain
6,FS_Method:noSelect
6,FeatureNum:6.0
6,FeatureNum:7.0
6,FeatureNum:8.0
6,ImblName:SMOTE
6,Norm_Order:last
6,Scaler:minmax
1,FS_Method:infgain
1,FeatureNum:4.0
1,FeatureNum:5.0
1,Model:GradientBoosting
1,Model:XGBmodel
1,Norm_Order:first
1,Scaler:standard
7,ImblName:ADASYN
7,ImblName:RandomUnderSampler
7,Model:random_forest
7,Prob_Threshold:0.35
2,ImblName:TomekLinks
2,ImblName:noImbl
2,Prob_Threshold:0.5
10,Model:DTmodel
5,Model:LogisticRegression
3,Model:sklearn_SVM
3,Split_Ratio:0.2
8,Split_Ratio:0.1
