Metric,Split_Ratio:0.1,FeatureNum:5.0,Scaler:standard,Model:random_forest,FS_Method:biMeanInfgain,FS_Method:biMaxInfgain,Model:GradientBoosting,FeatureNum:6.0,Norm_Order:last,FeatureNum:7.0
Accuracy,0.09674968367052827,0.0919098217767932,0.09503975947757229,0.10011501887455328,0.09157921107758912,0.09096881740766768,0.09422476433297969,0.0895536206198894,0.09370129454554536,0.09035402165410934
Macro_F1,0.0979771382573818,0.09271305088787986,0.09760688371535456,0.10236526349759803,0.09288804048196392,0.09236601833541377,0.09717076250128104,0.0901988025343431,0.09445677640876933,0.09156521112953538
Macro_Precision,0.0712835682359736,0.06715465093546943,0.06658695748030866,0.06726848497814393,0.06584771362747988,0.06573857089047702,0.05625995007199898,0.06470210360312281,0.06761168330079337,0.06514064038601994
Macro_Recall,0.07626064446357605,0.07195460306120362,0.07353661443805842,0.07417300187209458,0.07173414976124928,0.07136678647305922,0.06558878614382714,0.07022652936427191,0.0713089844731784,0.06906493379429825
Weighted_F1,0.10849090819926621,0.10335610404100647,0.11005666519466803,0.11616698797417004,0.1037524644440356,0.10307139936454242,0.11206849270647747,0.10041490535927185,0.1068778641099762,0.10320093633489508
Weighted_Precision,0.0655856778049925,0.06206769083090196,0.0631091710176133,0.062382459676278076,0.0611900585582678,0.06146095806629079,0.052444513022910005,0.05971262304429295,0.06338967093647285,0.061468260611394314
