Metric,Model:sklearn_SVM,AugName:noAug,AugName:mixup,Model:LogisticRegression,ImblName:TomekLinks,ImblName:noImbl,Split_Ratio:0.1,Prob_Threshold:0.5,Norm_Order:first,FeatureNum:5.0
Accuracy,0.7127018814518814,0.7061813186813186,0.7105321761571761,0.6873980186480186,0.7048819236319237,0.7068209568209569,0.6893717393717393,0.6988899988899989,0.6807359307359307,0.6781265031265031
Macro_F1,0.6888216273039612,0.6904281431134504,0.6910285860705655,0.6672287338581352,0.6743613426528076,0.6719664509568505,0.6668601368488113,0.670908419927071,0.6591089934447867,0.6575877339401699
Macro_Precision,0.7179481737726705,0.700276754231082,0.6992289999976841,0.7042107719294617,0.6886198522494967,0.6891972975823047,0.6950237624240524,0.6865459285095976,0.6831429904749573,0.6847403792051421
Macro_Recall,0.7080480769230769,0.7072325795346629,0.7031181149097815,0.694733202754036,0.6805934433364988,0.6755451685660019,0.6890641025641026,0.6800127611585945,0.6801520259575815,0.681468492798354
Weighted_F1,0.7081555900799076,0.7089360279420646,0.7122676419282986,0.6824140005824328,0.7018501323232998,0.7018315188407749,0.684530550653117,0.696468749937537,0.6778895903499642,0.6745668305286134
Weighted_Precision,0.7502821371335398,0.7371636237681037,0.7331074791136677,0.7429131088713128,0.7166971362602639,0.7146293987177924,0.730451168628215,0.7164408865270321,0.7200667623334576,0.7225328812926122
