Model_A,Model_B,p_value
DTmodel,GradientBoosting,0.25
DTmodel,LogisticRegression,0.25
DTmodel,XGBmodel,0.25
DTmodel,random_forest,0.25
DTmodel,sklearn_SVM,0.25
GradientBoosting,LogisticRegression,0.5
GradientBoosting,XGBmodel,0.75
GradientBoosting,random_forest,0.5
GradientBoosting,sklearn_SVM,0.25
LogisticRegression,XGBmodel,0.25
LogisticRegression,random_forest,0.25
LogisticRegression,sklearn_SVM,0.5
XGBmodel,random_forest,0.25
XGBmodel,sklearn_SVM,0.25
random_forest,sklearn_SVM,0.25
