Detail,MeanImportance,StdImportance,Rank
AugName_gaussian_noise,0.33683051360975286,0.05995103375459075,1
Model_DTmodel,0.16570629175907137,0.09872621429180148,2
Prob_Threshold,0.061248187811480004,0.02945757168527204,3
FeatureNum,0.054282828083871394,0.009431660905780324,4
Split_Ratio,0.05004624348306861,0.0102041384474961,5
ImblName_ADASYN,0.03976030039050145,0.02523075986635835,6
ImblName_RandomUnderSampler,0.0300202950916245,0.016934168128306355,7
Model_random_forest,0.025747851578788047,0.006123235425544343,8
Model_LogisticRegression,0.02429462604515437,0.0094320702055466,9
ImblName_SMOTE,0.024292419563423553,0.012077134263184559,10
