Detail,MeanImportance,StdImportance,Rank
Model_DTmodel,0.4766070170338806,0.04739219875394799,1
Split_Ratio,0.25669327803701525,0.038358253392586444,2
FeatureNum,0.07779714176197557,0.0056718947694725285,3
Model_LogisticRegression,0.02780991298710193,0.0026995453183871485,4
Model_GradientBoosting,0.02488845895115635,0.004474951854300196,5
FS_Method_biMaxInfgain,0.024226501154965715,0.0013368454082316882,6
Scaler_minmax,0.01968616387567999,0.0016286627879855437,7
Scaler_standard,0.019331489868439536,0.0014433727253961388,8
FS_Method_infgain,0.019252217236239075,0.001954598095871622,9
Model_random_forest,0.01637700902674967,0.0025157419925917776,10
