Part_Label,Model:sklearn_SVM,Split_Ratio:0.1,Model:LogisticRegression,Model:GradientBoosting,FS_Method:biMaxInfgain,FeatureNum:5.0,Model:random_forest,Model:XGBmodel,Scaler:standard,FeatureNum:7.0
Model:sklearn_SVM,,0.9817220793694179,,,0.9357048832590399,0.9469695994812153,,,0.9332865795106594,0.9376369029032505
Split_Ratio:0.1,0.9817220793694179,,0.9963432803505833,0.9740335545244465,0.9852957228661009,0.990560371677207,0.9652682239449534,0.9600718800874346,0.9844073834813449,0.9865189911435968
Model:LogisticRegression,,0.9963432803505833,,,0.9671035584108755,0.975234310657909,,,0.9658829182967343,0.9690203865180188
Model:GradientBoosting,,0.9740335545244465,,,0.9971992991880795,0.9951402530011582,,,0.998164033746452,0.9975615626024221
FS_Method:biMaxInfgain,0.9357048832590399,0.9852957228661009,0.9671035584108755,0.9971992991880795,,0.9993894177324751,0.9953482343061069,0.9926910191155274,0.9998400843662579,0.999822474287527
FeatureNum:5.0,0.9469695994812153,0.990560371677207,0.975234310657909,0.9951402530011582,0.9993894177324751,,0.9917348554809697,0.988647855234016,0.999131502499023,
Model:random_forest,,0.9652682239449534,,,0.9953482343061069,0.9917348554809697,,,0.9961543618641775,0.9949753376350009
Model:XGBmodel,,0.9600718800874346,,,0.9926910191155274,0.988647855234016,,,0.9939998047140539,0.9926172690539511
Scaler:standard,0.9332865795106594,0.9844073834813449,0.9658829182967343,0.998164033746452,0.9998400843662579,0.999131502499023,0.9961543618641775,0.9939998047140539,,0.9999088389366594
FeatureNum:7.0,0.9376369029032505,0.9865189911435968,0.9690203865180188,0.9975615626024221,0.999822474287527,,0.9949753376350009,0.9926172690539511,0.9999088389366594,
