Part_Label,FeatureNum:5.0,Split_Ratio:0.1,Scaler:standard,FS_Method:noSelect,FeatureNum:8.0,Norm_Order:last,AugName:noAug,ImblName:noImbl,Prob_Threshold:0.5,Norm_Order:first
FeatureNum:5.0,,0.990560371677206,0.999131502499023,0.9997630259427494,,0.9999381946359162,0.9999453765305932,0.9999453765305932,0.9999453765305932,0.9999486180151574
Split_Ratio:0.1,0.990560371677206,,0.9844073834813449,0.9891630163142563,0.9891630163142563,0.991480870988715,0.9912541648027465,0.9912541648027465,0.9912541648027465,0.9910233148028855
Scaler:standard,0.999131502499023,0.9844073834813449,,0.9990654973949639,0.9990654973949639,0.9988996318271112,0.9989861291776027,0.9989861291776027,0.9989861291776027,0.999068770518598
FS_Method:noSelect,0.9997630259427494,0.9891630163142563,0.9990654973949639,,1.0,0.9996614476591221,0.9996650935856147,0.9996650935856147,0.9996650935856147,0.9996647966146907
FeatureNum:8.0,,0.9891630163142563,0.9990654973949639,1.0,,0.9996614476591221,0.9996650935856147,0.9996650935856147,0.9996650935856147,0.9996647966146907
Norm_Order:last,0.9999381946359162,0.991480870988715,0.9988996318271112,0.9996614476591221,0.9996614476591221,,0.9999980290432448,0.9999980290432448,0.9999980290432448,
AugName:noAug,0.9999453765305932,0.9912541648027465,0.9989861291776027,0.9996650935856147,0.9996650935856147,0.9999980290432448,,1.0,1.0,0.9999980250347731
ImblName:noImbl,0.9999453765305932,0.9912541648027465,0.9989861291776027,0.9996650935856147,0.9996650935856147,0.9999980290432448,1.0,,1.0,0.9999980250347731
Prob_Threshold:0.5,0.9999453765305932,0.9912541648027465,0.9989861291776027,0.9996650935856147,0.9996650935856147,0.9999980290432448,1.0,1.0,,0.9999980250347731
Norm_Order:first,0.9999486180151574,0.9910233148028855,0.999068770518598,0.9996647966146907,0.9996647966146907,,0.9999980250347731,0.9999980250347731,0.9999980250347731,
