,FeatureNum,InfoGain,Scaler,AugMethod,ImblMethod,Model,NormOrder,Prob_Threshold,Split_Ratio
Accuracy,0.6893862233445567,0.6895667049963925,0.6889419608169608,0.6889419608169609,0.6889419608169607,0.6889419608169608,0.6889419608169608,0.6889419608169608,0.6889419608169609
Macro_Precision,0.6978884446186167,0.6981558588758864,0.6972301941391832,0.6972301941391832,0.6972301941391831,0.6972301941391832,0.6972301941391831,0.6972301941391831,0.6972301941391831
Macro_Recall,0.6967920581847279,0.6970145586848422,0.696244364645985,0.6962443646459849,0.6962443646459849,0.696244364645985,0.696244364645985,0.696244364645985,0.696244364645985
Macro_F1,0.6685425454388094,0.6687279999865261,0.6680860419367374,0.6680860419367374,0.6680860419367374,0.6680860419367374,0.6680860419367375,0.6680860419367374,0.6680860419367374
Weighted_F1,0.6847475278732899,0.6849047136316219,0.6843606090835495,0.6843606090835493,0.6843606090835495,0.6843606090835493,0.6843606090835493,0.6843606090835495,0.6843606090835495
Weighted_Precision,0.7379056505574717,0.7381552401876653,0.7372912760831489,0.7372912760831488,0.7372912760831489,0.737291276083149,0.7372912760831489,0.7372912760831489,0.7372912760831489
