Part_Label,Split_Ratio:0.1,ImblName:ADASYN,FeatureNum:7.0,FeatureNum:8.0,FS_Method:noSelect,Prob_Threshold:0.35,Scaler:standard,ImblName:SMOTE,Norm_Order:last,FeatureNum:5.0
Split_Ratio:0.1,,0.9929766103598444,0.9995335994338805,0.998737152005263,0.998737152005263,0.98425962359996,0.9920850989252481,0.998984257157482,0.9996442234872589,0.9977668948904235
ImblName:ADASYN,0.9929766103598444,,0.9928780611532091,0.990844236287386,0.990844236287386,0.9978265683932773,0.9709855832641759,,0.9897478851834359,0.9832821353647261
FeatureNum:7.0,0.9995335994338805,0.9928780611532091,,,0.9997158961136382,0.9848191147736105,0.9921819577752944,0.9979740224555209,0.9994205061928315,
FeatureNum:8.0,0.998737152005263,0.990844236287386,,,1.0,0.9828693800554957,0.9929164304013247,0.9965543465500628,0.9990281873153982,
FS_Method:noSelect,0.998737152005263,0.990844236287386,0.9997158961136382,1.0,,0.9828693800554957,0.9929164304013247,0.9965543465500628,0.9990281873153982,0.9959569147643025
Prob_Threshold:0.35,0.98425962359996,0.9978265683932773,0.9848191147736105,0.9828693800554957,0.9828693800554957,,0.9555249854938408,0.989728592149819,0.9797610308902106,0.9704664608754151
Scaler:standard,0.9920850989252481,0.9709855832641759,0.9921819577752944,0.9929164304013247,0.9929164304013247,0.9555249854938408,,0.9856794208766536,0.9950342443885637,0.9971273061275459
ImblName:SMOTE,0.998984257157482,,0.9979740224555209,0.9965543465500628,0.9965543465500628,0.989728592149819,0.9856794208766536,,0.9974602260914858,0.9946659777241204
Norm_Order:last,0.9996442234872589,0.9897478851834359,0.9994205061928315,0.9990281873153982,0.9990281873153982,0.9797610308902106,0.9950342443885637,0.9974602260914858,,0.9987944009221358
FeatureNum:5.0,0.9977668948904235,0.9832821353647261,,,0.9959569147643025,0.9704664608754151,0.9971273061275459,0.9946659777241204,0.9987944009221358,
