Part_Label,AugName:noAug,AugName:mixup,Split_Ratio:0.1,Prob_Threshold:0.5,ImblName:TomekLinks,ImblName:noImbl,Norm_Order:first,FS_Method:noSelect,FeatureNum:8.0,FeatureNum:7.0
AugName:noAug,,,0.9581361348536515,0.7704406370488399,0.9436902122402256,0.8913240813592458,0.9693418134026155,0.9459264928527608,0.9459264928527608,0.9497949759736467
AugName:mixup,,,0.9350467055554496,0.8283763690257456,0.9599105736197947,0.9196455720974749,0.9543068717908667,0.9230346041952008,0.9230346041952008,0.9261602679260722
Split_Ratio:0.1,0.9581361348536515,0.9350467055554496,,0.6785032421383992,0.9263005384506483,0.8695882803414713,0.9967608054682167,0.998737152005263,0.998737152005263,0.9995335994338805
Prob_Threshold:0.5,0.7704406370488399,0.8283763690257456,0.6785032421383992,,0.9046799956556099,0.946193781138111,0.7347198878897122,0.6794893104685649,0.6794893104685649,0.6744966826521037
ImblName:TomekLinks,0.9436902122402256,0.9599105736197947,0.9263005384506483,0.9046799956556099,,,0.9531042474969135,0.9272338270462219,0.9272338270462219,0.9246698532672399
ImblName:noImbl,0.8913240813592458,0.9196455720974749,0.8695882803414713,0.946193781138111,,,0.9050496744233941,0.8743643872416756,0.8743643872416756,0.8694627801972609
Norm_Order:first,0.9693418134026155,0.9543068717908667,0.9967608054682167,0.7347198878897122,0.9531042474969135,0.9050496744233941,,0.9955701221920179,0.9955701221920179,0.9957265635463519
FS_Method:noSelect,0.9459264928527608,0.9230346041952008,0.998737152005263,0.6794893104685649,0.9272338270462219,0.8743643872416756,0.9955701221920179,,1.0,0.9997158961136388
FeatureNum:8.0,0.9459264928527608,0.9230346041952008,0.998737152005263,0.6794893104685649,0.9272338270462219,0.8743643872416756,0.9955701221920179,1.0,,
FeatureNum:7.0,0.9497949759736467,0.9261602679260722,0.9995335994338805,0.6744966826521037,0.9246698532672399,0.8694627801972609,0.9957265635463519,0.9997158961136388,,
